dia;dia_semana;fim_semana;local;atividade;duracao;frequencia;duracao/frequencia
1;3;0;3;Sleeping;28459;2;14229
1;3;0;4;Bed_to_Toilet;158;1;158
1;3;0;9;Relax;2262;3;754
1;3;0;10;Relax;1578;2;789
1;3;0;14;Eating;626;4;156
1;3;0;18;Meal_Preparation;4037;9;448
2;4;0;3;Sleeping;48019;3;16006
2;4;0;4;Bed_to_Toilet;160;1;160
2;4;0;9;Relax;585;2;292
2;4;0;14;Eating;209;1;209
2;4;0;18;Meal_Preparation;481;3;160
3;5;1;3;Sleeping;16215;1;16215
3;5;1;4;Bed_to_Toilet;189;1;189
3;5;1;9;Relax;12578;7;1796
3;5;1;14;Eating;1795;3;598
3;5;1;18;Meal_Preparation;1289;4;322
4;6;1;3;Sleeping;47460;5;9492
4;6;1;4;Bed_to_Toilet;348;3;116
4;6;1;9;Relax;28849;18;1602
4;6;1;14;Eating;4672;10;467
4;6;1;18;Meal_Preparation;1790;8;223
4;6;1;19;Meal_Preparation;108;1;108
5;0;0;3;Sleeping;10732;2;5366
5;0;0;4;Bed_to_Toilet;184;1;184
5;0;0;9;Relax;25717;13;1978
5;0;0;14;Eating;3224;5;644
5;0;0;18;Meal_Preparation;2118;11;192
6;1;0;3;Sleeping;29059;3;9686
6;1;0;4;Bed_to_Toilet;300;2;150
6;1;0;9;Relax;14511;11;1319
6;1;0;10;Relax;255;1;255
6;1;0;14;Eating;2528;7;361
6;1;0;18;Meal_Preparation;1935;9;215
6;1;0;19;Meal_Preparation;880;2;440
7;2;0;3;Sleeping;44323;2;22161
7;2;0;9;Relax;15640;9;1737
7;2;0;14;Eating;1332;3;444
7;2;0;18;Meal_Preparation;1705;5;341
7;2;0;19;Meal_Preparation;492;1;492
8;3;0;3;Sleeping;33273;2;16636
8;3;0;4;Bed_to_Toilet;149;1;149
8;3;0;9;Relax;14913;11;1355
8;3;0;14;Eating;1536;4;384
8;3;0;18;Meal_Preparation;1998;10;199
9;4;0;3;Sleeping;32280;2;16140
9;4;0;4;Bed_to_Toilet;205;1;205
9;4;0;9;Relax;23342;12;1945
9;4;0;14;Eating;1527;3;509
9;4;0;18;Meal_Preparation;2153;10;215
10;5;1;3;Sleeping;39296;2;19648
10;5;1;4;Bed_to_Toilet;227;1;227
10;5;1;9;Relax;20507;10;2050
