dia;dia_semana;fim_semana;BedToToilet;Eating;MealPreparation;Relax;Sleeping
1;3;0;158;156;444;1555;14229
2;4;0;160;209;375;1555;16006
3;5;1;189;598;375;1555;16215
4;6;1;174;1193;210;1697;9492
5;0;0;184;806;235;1978;5366
6;1;0;150;632;312;1230;9686
7;3;0;149;384;222;1355;16636
8;4;0;205;509;239;1945;16140
9;5;1;227;605;320;2050;19648
10;0;0;207;754;533;1555;4978
11;1;0;117;623;556;1731;15923
12;2;0;115;560;435;1555;11911
13;3;0;260;1184;375;1281;17191
14;5;1;123;1608;290;1788;7750
15;0;0;194;241;213;2834;2652
16;2;0;159;727;375;1955;9592
17;4;0;215;1537;375;1734;16354
18;6;1;222;881;666;1781;10356
19;0;0;100;474;492;2198;7490
20;1;0;114;556;522;1165;16829
21;3;0;250;701;448;2696;4752
22;4;0;150;369;375;1631;14550
23;5;1;169;731;561;1565;12072
24;0;0;180;267;300;1524;5443
25;1;0;146;586;666;1598;15970
26;2;0;152;606;375;2300;15112
27;3;0;182;208;375;1166;17204
28;6;1;184;720;571;2313;12440
29;0;0;184;875;364;1759;10206
30;1;0;201;335;541;1865;15155
31;2;0;123;472;375;1954;9748
32;4;0;159;260;666;1008;9007
33;5;1;97;438;666;1484;8885
34;0;0;140;278;375;2045;13684
35;5;1;147;633;250;1908;16838
36;6;1;152;245;370;2017;10146
37;1;0;201;1206;444;1630;13748
38;2;0;155;400;375;1427;19332
39;4;0;203;325;444;1779;13935
40;5;1;193;851;439;2316;17924
41;6;1;194;414;571;2254;9017
42;1;0;209;446;300;1514;15408
43;4;0;158;403;383;1957;9563
44;0;0;249;2662;486;1651;13841
45;1;0;90;385;444;1339;14206
46;2;0;131;198;240;1824;15598
47;5;1;203;222;267;1454;15842
48;1;0;167;1153;260;1555;12935
49;2;0;258;1031;300;1972;14310
50;4;0;200;477;341;1633;16443
51;0;0;139;237;551;1920;7371
52;2;0;106;285;444;1447;15822
53;0;0;139;2222;571;1554;13043
54;1;0;133;285;214;2081;14242
55;4;0;188;309;444;966;8331
56;5;1;176;249;375;2245;10752
57;0;0;141;137;492;1990;17199
58;2;0;161;211;444;1280;15682
59;0;0;157;875;387;1541;18859
60;3;0;302;206;617;1754;15340
61;0;0;148;95;300;2204;737
62;0;0;105;319;403;3200;16349
63;3;0;187;311;666;3636;10015
64;6;1;126;838;491;2857;9417
65;0;0;180;535;434;3076;12403
66;3;0;124;544;444;3015;14443
67;0;0;130;216;390;1775;19682
68;2;0;123;593;259;1908;11542
69;3;0;100;884;367;1592;16029
70;0;0;119;358;444;2181;13457
71;1;0;126;690;444;1980;14500
72;2;0;114;201;303;1562;8579
73;1;0;131;1413;375;2748;7498
74;3;0;116;198;300;1738;9234
75;4;0;152;420;444;1689;7315
76;3;0;189;1750;322;2658;15944
77;6;1;197;574;444;1166;17062
78;0;0;182;367;575;1073;-4676
79;1;0;121;820;424;2618;15316
80;3;0;117;726;375;2021;6665
81;4;0;172;400;800;2714;7680
82;0;0;190;328;498;1555;16483
83;1;0;149;439;571;1331;11658
84;2;0;175;504;349;1607;12322
