dia;dia_semana;fim_semana;BedToToilet;Eating;MealPreparation;Relax;Sleeping
1;3;0;158,0;156,0;448,0;768,0;14229,0
2;4;0;160,0;209,0;160,0;292,0;16006,0
3;5;1;189,0;598,0;322,0;1796,0;16215,0
4;6;1;116,0;467,0;210,0;1602,0;9492,0
5;0;0;184,0;644,0;192,0;1978,0;5366,0
6;1;0;150,0;361,0;256,0;1230,0;9686,0
7;3;0;149,0;384,0;199,0;1355,0;16636,0
8;4;0;205,0;509,0;215,0;1945,0;16140,0
9;5;1;227,0;605,0;320,0;2050,0;19648,0
10;0;0;207,0;754,0;533,0;1210,0;4978,0
11;1;0;117,0;623,0;556,0;1731,0;15923,0
12;2;0;115,0;560,0;581,0;2800,0;11911,0
13;3;0;260,0;1184,0;290,0;1281,0;17191,0
14;5;1;123,0;1608,0;290,0;1788,0;7750,0
15;0;0;194,0;241,0;213,0;1539,0;2652,0
16;2;0;159,0;727,0;214,0;1955,0;9592,0
17;4;0;215,0;1537,0;286,0;1734,0;16354,0
18;6;1;222,0;881,0;784,0;1781,0;10356,0
19;0;0;39,0;474,0;492,0;2198,0;7490,0
20;1;0;114,0;556,0;522,0;1165,0;16829,0
21;3;0;250,0;701,0;448,0;2696,0;4752,0
22;4;0;150,0;369,0;256,0;1631,0;14550,0
23;5;1;169,0;731,0;561,0;1565,0;12072,0
24;0;0;180,0;267,0;169,0;1439,0;5443,0
25;1;0;146,0;586,0;694,0;1598,0;15970,0
26;2;0;152,0;606,0;562,0;2300,0;15112,0
27;3;0;182,0;208,0;469,0;805,0;17204,0
28;6;1;184,0;720,0;744,0;2313,0;12440,0
29;0;0;184,0;732,0;328,0;1759,0;10206,0
30;1;0;201,0;335,0;541,0;1865,0;15155,0
31;2;0;123,0;472,0;744,0;1954,0;9748,0
32;4;0;159,0;260,0;935,0;902,0;9007,0
33;5;1;97,0;438,0;781,0;1328,0;8885,0
34;0;0;140,0;278,0;379,0;2045,0;13684,0
35;5;1;147,0;633,0;207,0;1908,0;16838,0
36;6;1;152,0;245,0;370,0;2017,0;10146,0
37;1;0;201,0;1206,0;473,0;1630,0;13748,0
38;2;0;155,0;400,0;337,0;1427,0;19332,0
39;4;0;203,0;325,0;374,0;1779,0;13935,0
40;5;1;193,0;851,0;439,0;2316,0;17924,0
41;6;1;194,0;414,0;736,0;2254,0;9017,0
42;1;0;209,0;446,0;300,0;1514,0;15408,0
43;4;0;158,0;403,0;383,0;1957,0;9563,0
44;0;0;249,0;2662,0;486,0;1403,0;13841,0
45;1;0;90,0;385,0;598,0;1339,0;14206,0
46;2;0;131,0;198,0;240,0;1824,0;15598,0
47;5;1;203,0;222,0;267,0;1301,0;15842,0
48;1;0;167,0;1153,0;260,0;1918,0;12935,0
49;2;0;258,0;1031,0;197,0;1972,0;14310,0
50;4;0;200,0;477,0;341,0;1633,0;16443,0
51;0;0;139,0;237,0;551,0;1920,0;7371,0
52;2;0;106,0;285,0;373,0;1447,0;15822,0
53;0;0;139,0;2222,0;587,0;1554,0;13043,0
54;1;0;133,0;285,0;148,0;2081,0;14242,0
55;4;0;188,0;1268,0;670,0;966,0;8331,0
56;5;1;176,0;249,0;593,0;2245,0;10752,0
57;0;0;141,0;137,0;492,0;1990,0;17199,0
58;2;0;161,0;211,0;712,0;1280,0;15682,0
59;0;0;157,0;898,0;387,0;1541,0;18859,0
60;3;0;302,0;206,0;617,0;1754,0;15340,0
61;0;0;148,0;95,0;270,0;2204,0;737,0
62;0;0;105,0;319,0;1453,0;3200,0;16349,0
63;3;0;474,0;311,0;1816,0;3729,0;10015,0
64;6;1;126,0;838,0;491,0;3113,0;9417,0
65;0;0;180,0;535,0;434,0;3533,0;12403,0
66;3;0;124,0;544,0;415,0;3015,0;14443,0
67;0;0;130,0;216,0;351,0;1775,0;19682,0
68;2;0;123,0;593,0;233,0;1908,0;11542,0
69;3;0;86,0;884,0;367,0;1289,0;16029,0
70;0;0;119,0;358,0;787,0;2060,0;13457,0
71;1;0;126,0;690,0;779,0;1980,0;14500,0
72;2;0;114,0;201,0;303,0;1562,0;8579,0
73;1;0;131,0;1413,0;316,0;2748,0;7498,0
74;3;0;116,0;198,0;285,0;1738,0;9234,0
75;4;0;152,0;420,0;554,0;1689,0;7315,0
76;3;0;189,0;1923,0;322,0;3417,0;15944,0
77;6;1;197,0;574,0;666,0;1090,0;17062,0
78;0;0;182,0;367,0;374,0;2993,0;-4676,0
79;1;0;121,0;820,0;424,0;2618,0;15316,0
80;3;0;117,0;726,0;351,0;2021,0;6665,0
81;4;0;172,0;400,0;1208,0;2714,0;7680,0
82;0;0;190,0;328,0;498,0;1322,0;16483,0
83;1;0;149,0;439,0;735,0;1331,0;11658,0
84;2;0;175,0;504,0;314,0;1607,0;12322,0
