dia;dia_semana;fim_semana;BedToToilet;Eating;MealPreparation;Relax;Sleeping
1;3;0;158,0;626,0;4037,0;3840,0;28459,0
2;4;0;160,0;209,0;481,0;585,0;48019,0
3;5;1;189,0;1795,0;1289,0;12578,0;16215,0
4;6;1;348,0;4672,0;1898,0;28849,0;47460,0
5;0;0;184,0;3224,0;2118,0;25717,0;10732,0
6;1;0;300,0;2528,0;2816,0;14766,0;29059,0
7;3;0;149,0;1536,0;1998,0;14913,0;33273,0
8;4;0;205,0;1527,0;2153,0;23342,0;32280,0
9;5;1;227,0;1210,0;1924,0;20507,0;39296,0
10;0;0;207,0;2262,0;2135,0;9686,0;9956,0
11;1;0;117,0;623,0;3338,0;29428,0;31846,0
12;2;0;231,0;1121,0;1743,0;14002,0;23823,0
13;3;0;260,0;2368,0;1163,0;19217,0;34383,0
14;5;1;246,0;3217,0;1741,0;19671,0;31001,0
15;0;0;194,0;241,0;1710,0;36953,0;2652,0
16;2;0;318,0;727,0;214,0;25418,0;28777,0
17;4;0;215,0;1537,0;1145,0;27750,0;49062,0
18;6;1;222,0;1762,0;4709,0;21376,0;10356,0
19;0;0;39,0;474,0;2461,0;19789,0;22472,0
20;1;0;228,0;1668,0;2613,0;16311,0;67318,0
21;3;0;250,0;1402,0;1792,0;26964,0;4752,0
22;4;0;150,0;369,0;1024,0;26106,0;29100,0
23;5;1;339,0;731,0;2244,0;18782,0;48291,0
24;0;0;180,0;267,0;848,0;25918,0;10887,0
25;1;0;293,0;1759,0;4169,0;14387,0;47912,0
26;2;0;152,0;606,0;1125,0;25303,0;30225,0
27;3;0;182,0;208,0;1409,0;9662,0;34408,0
28;6;1;184,0;1441,0;5208,0;27760,0;24880,0
29;0;0;184,0;4392,0;3284,0;19355,0;10206,0
30;1;0;201,0;1006,0;3787,0;22389,0;30310,0
31;2;0;246,0;472,0;1488,0;29323,0;29246,0
32;4;0;159,0;260,0;5614,0;17138,0;9007,0
33;5;1;195,0;876,0;4689,0;25234,0;26655,0
34;0;0;280,0;278,0;1137,0;22499,0;27369,0
35;5;1;147,0;1899,0;1244,0;28622,0;33677,0
36;6;1;152,0;245,0;1851,0;20177,0;20292,0
37;1;0;201,0;2412,0;5207,0;22826,0;27497,0
38;2;0;155,0;400,0;1351,0;14279,0;57998,0
39;4;0;203,0;325,0;4122,0;28470,0;27871,0
40;5;1;193,0;851,0;2636,0;32430,0;53772,0
41;6;1;194,0;414,0;5152,0;27058,0;9017,0
42;1;0;209,0;893,0;2702,0;25743,0;30816,0
43;4;0;158,0;1210,0;3070,0;29361,0;9563,0
44;0;0;249,0;2662,0;3405,0;28075,0;27683,0
45;1;0;180,0;770,0;7777,0;18748,0;28413,0
46;2;0;131,0;396,0;2160,0;20074,0;31196,0
47;5;1;203,0;222,0;2136,0;24724,0;47526,0
48;1;0;167,0;1153,0;2348,0;13429,0;38805,0
49;2;0;258,0;3095,0;985,0;27610,0;14310,0
50;4;0;200,0;477,0;2392,0;16335,0;49330,0
51;0;0;139,0;712,0;3863,0;30725,0;7371,0
52;2;0;106,0;285,0;4104,0;21719,0;47466,0
53;0;0;139,0;2222,0;4115,0;23314,0;26086,0
54;1;0;133,0;285,0;1041,0;22892,0;28484,0
55;4;0;188,0;7611,0;8042,0;15463,0;8331,0
56;5;1;176,0;249,0;1187,0;20205,0;21505,0
57;0;0;141,0;412,0;2955,0;31844,0;51599,0
58;2;0;161,0;211,0;6412,0;21767,0;31365,0
59;0;0;157,0;3594,0;1938,0;26205,0;56579,0
60;3;0;302,0;206,0;2469,0;22814,0;30680,0
61;0;0;148,0;287,0;1353,0;37472,0;737,0
62;0;0;105,0;639,0;11628,0;28806,0;16349,0
63;3;0;474,0;622,0;10899,0;41028,0;20031,0
64;6;1;126,0;2514,0;3443,0;43583,0;9417,0
65;0;0;180,0;535,0;2173,0;45931,0;24806,0
66;3;0;248,0;1088,0;5818,0;27137,0;43331,0
67;0;0;130,0;216,0;3511,0;19525,0;39364,0
68;2;0;123,0;593,0;2338,0;28634,0;23085,0
69;3;0;86,0;2654,0;2941,0;27079,0;48087,0
70;0;0;119,0;358,0;7089,0;37087,0;26914,0
71;1;0;126,0;1381,0;10136,0;23769,0;43502,0
72;2;0;114,0;402,0;2427,0;18749,0;17158,0
73;1;0;131,0;2827,0;949,0;24732,0;7498,0
74;3;0;116,0;198,0;1426,0;19125,0;36938,0
75;4;0;152,0;420,0;5540,0;25343,0;7315,0
76;3;0;189,0;3847,0;2256,0;23922,0;31888,0
77;6;1;197,0;2297,0;10002,0;13081,0;34124,0
78;0;0;364,0;1468,0;6744,0;71852,0;-28061,0
79;1;0;121,0;3283,0;2549,0;26183,0;30632,0
80;3;0;117,0;726,0;1404,0;24252,0;26662,0
81;4;0;172,0;400,0;6042,0;29854,0;7680,0
82;0;0;190,0;657,0;3488,0;26444,0;32966,0
83;1;0;149,0;439,0;5150,0;18635,0;23316,0
84;2;0;175,0;1008,0;3144,0;24106,0;24644,0
