dia;dia_semana;fim_semana;BedToToilet;Eating;MealPreparation;Relax;Sleeping
1;3;0;1,0;4,0;9,0;5,0;2,0
2;4;0;1,0;1,0;3,0;2,0;3,0
3;5;1;1,0;3,0;4,0;7,0;1,0
4;6;1;3,0;10,0;9,0;18,0;5,0
5;0;0;1,0;5,0;11,0;13,0;2,0
6;1;0;2,0;7,0;11,0;12,0;3,0
7;3;0;1,0;4,0;10,0;11,0;2,0
8;4;0;1,0;3,0;10,0;12,0;2,0
9;5;1;1,0;2,0;6,0;10,0;2,0
10;0;0;1,0;3,0;4,0;8,0;2,0
11;1;0;1,0;1,0;6,0;17,0;2,0
12;2;0;2,0;2,0;3,0;5,0;2,0
13;3;0;1,0;2,0;4,0;15,0;2,0
14;5;1;2,0;2,0;6,0;11,0;4,0
15;0;0;1,0;1,0;8,0;24,0;1,0
16;2;0;2,0;1,0;1,0;13,0;3,0
17;4;0;1,0;1,0;4,0;16,0;3,0
18;6;1;1,0;2,0;6,0;12,0;1,0
19;0;0;1,0;1,0;5,0;9,0;3,0
20;1;0;2,0;3,0;5,0;14,0;4,0
21;3;0;1,0;2,0;4,0;10,0;1,0
22;4;0;1,0;1,0;4,0;16,0;2,0
23;5;1;2,0;1,0;4,0;12,0;4,0
24;0;0;1,0;1,0;5,0;18,0;2,0
25;1;0;2,0;3,0;6,0;9,0;3,0
26;2;0;1,0;1,0;2,0;11,0;2,0
27;3;0;1,0;1,0;3,0;12,0;2,0
28;6;1;1,0;2,0;7,0;12,0;2,0
29;0;0;1,0;6,0;10,0;11,0;1,0
30;1;0;1,0;3,0;7,0;12,0;2,0
31;2;0;2,0;1,0;2,0;15,0;3,0
32;4;0;1,0;1,0;6,0;19,0;1,0
33;5;1;2,0;2,0;6,0;19,0;3,0
34;0;0;2,0;1,0;3,0;11,0;2,0
35;5;1;1,0;3,0;6,0;15,0;2,0
36;6;1;1,0;1,0;5,0;10,0;2,0
37;1;0;1,0;2,0;11,0;14,0;2,0
38;2;0;1,0;1,0;4,0;10,0;3,0
39;4;0;1,0;1,0;11,0;16,0;2,0
40;5;1;1,0;1,0;6,0;14,0;3,0
41;6;1;1,0;1,0;7,0;12,0;1,0
42;1;0;1,0;2,0;9,0;17,0;2,0
43;4;0;1,0;3,0;8,0;15,0;1,0
44;0;0;1,0;1,0;7,0;20,0;2,0
45;1;0;2,0;2,0;13,0;14,0;2,0
46;2;0;1,0;2,0;9,0;11,0;2,0
47;5;1;1,0;1,0;8,0;19,0;3,0
48;1;0;1,0;1,0;9,0;7,0;3,0
49;2;0;1,0;3,0;5,0;14,0;1,0
50;4;0;1,0;1,0;7,0;10,0;3,0
51;0;0;1,0;3,0;7,0;16,0;1,0
52;2;0;1,0;1,0;11,0;15,0;3,0
53;0;0;1,0;1,0;7,0;15,0;2,0
54;1;0;1,0;1,0;7,0;11,0;2,0
55;4;0;1,0;6,0;12,0;16,0;1,0
56;5;1;1,0;1,0;2,0;9,0;2,0
57;0;0;1,0;3,0;6,0;16,0;3,0
58;2;0;1,0;1,0;9,0;17,0;2,0
59;0;0;1,0;4,0;5,0;17,0;3,0
60;3;0;1,0;1,0;4,0;13,0;2,0
61;0;0;1,0;3,0;5,0;17,0;1,0
62;0;0;1,0;2,0;8,0;9,0;1,0
63;3;0;1,0;2,0;6,0;11,0;2,0
64;6;1;1,0;3,0;7,0;14,0;1,0
65;0;0;1,0;1,0;5,0;13,0;2,0
66;3;0;2,0;2,0;14,0;9,0;3,0
67;0;0;1,0;1,0;10,0;11,0;2,0
68;2;0;1,0;1,0;10,0;15,0;2,0
69;3;0;1,0;3,0;8,0;21,0;3,0
70;0;0;1,0;1,0;9,0;18,0;2,0
71;1;0;1,0;2,0;13,0;12,0;3,0
72;2;0;1,0;2,0;8,0;12,0;2,0
73;1;0;1,0;2,0;3,0;9,0;1,0
74;3;0;1,0;1,0;5,0;11,0;4,0
75;4;0;1,0;1,0;10,0;15,0;1,0
76;3;0;1,0;2,0;7,0;7,0;2,0
77;6;1;1,0;4,0;15,0;12,0;2,0
78;0;0;2,0;4,0;18,0;24,0;6,0
79;1;0;1,0;4,0;6,0;10,0;2,0
80;3;0;1,0;1,0;4,0;12,0;4,0
81;4;0;1,0;1,0;5,0;11,0;1,0
82;0;0;1,0;2,0;7,0;20,0;2,0
83;1;0;1,0;1,0;7,0;14,0;2,0
84;2;0;1,0;2,0;10,0;15,0;2,0
