dia;dia_semana;fim_semana;duracao;frequencia;durfreq;outlier
0;3;0;158,0;1,0;158;1
1;4;0;160,0;1,0;160;1
2;5;1;189,0;1,0;189;1
3;6;1;348,0;2,0;174;1
4;0;0;184,0;1,0;184;1
5;1;0;300,0;2,0;150;1
6;3;0;149,0;1,0;149;1
7;4;0;205,0;1,0;205;1
8;5;1;227,0;1,0;227;1
9;0;0;207,0;1,0;207;1
10;1;0;117,0;1,0;117;1
11;2;0;231,0;2,0;115;1
12;3;0;260,0;1,0;260;1
13;5;1;246,0;2,0;123;1
14;0;0;194,0;1,0;194;1
15;2;0;318,0;2,0;159;1
16;4;0;215,0;1,0;215;1
17;6;1;222,0;1,0;222;1
18;0;0;100,0;1,0;100;1
19;1;0;228,0;2,0;114;1
20;3;0;250,0;1,0;250;1
21;4;0;150,0;1,0;150;1
22;5;1;339,0;2,0;169;1
23;0;0;180,0;1,0;180;1
24;1;0;293,0;2,0;146;1
25;2;0;152,0;1,0;152;1
26;3;0;182,0;1,0;182;1
27;6;1;184,0;1,0;184;1
28;0;0;184,0;1,0;184;1
29;1;0;201,0;1,0;201;1
30;2;0;246,0;2,0;123;1
31;4;0;159,0;1,0;159;1
32;5;1;195,0;2,0;97;1
33;0;0;280,0;2,0;140;1
34;5;1;147,0;1,0;147;1
35;6;1;152,0;1,0;152;1
36;1;0;201,0;1,0;201;1
37;2;0;155,0;1,0;155;1
38;4;0;203,0;1,0;203;1
39;5;1;193,0;1,0;193;1
40;6;1;194,0;1,0;194;1
41;1;0;209,0;1,0;209;1
42;4;0;158,0;1,0;158;1
43;0;0;249,0;1,0;249;1
44;1;0;180,0;2,0;90;1
45;2;0;131,0;1,0;131;1
46;5;1;203,0;1,0;203;1
47;1;0;167,0;1,0;167;1
48;2;0;258,0;1,0;258;1
49;4;0;200,0;1,0;200;1
50;0;0;139,0;1,0;139;1
51;2;0;106,0;1,0;106;1
52;0;0;139,0;1,0;139;1
53;1;0;133,0;1,0;133;1
54;4;0;188,0;1,0;188;1
55;5;1;176,0;1,0;176;1
