dia;dia_semana;fim_semana;duracao;frequencia;durfreq;outlier
0;3;0;626,0;4,0;156;1
1;4;0;209,0;1,0;209;1
2;5;1;1795,0;3,0;598;1
3;6;1;3500,0;2,933333333333333;1193;1
4;0;0;3224,0;4,0;806;1
5;1;0;2528,0;4,0;632;1
6;3;0;1536,0;4,0;384;1
7;4;0;1527,0;3,0;509;1
8;5;1;1210,0;2,0;605;1
9;0;0;2262,0;3,0;754;1
10;1;0;623,0;1,0;623;1
11;2;0;1121,0;2,0;560;1
12;3;0;2368,0;2,0;1184;1
13;5;1;3217,0;2,0;1608;1
14;0;0;241,0;1,0;241;1
15;2;0;727,0;1,0;727;1
16;4;0;1537,0;1,0;1537;1
17;6;1;1762,0;2,0;881;1
18;0;0;474,0;1,0;474;1
19;1;0;1668,0;3,0;556;1
20;3;0;1402,0;2,0;701;1
21;4;0;369,0;1,0;369;1
22;5;1;731,0;1,0;731;1
23;0;0;267,0;1,0;267;1
24;1;0;1759,0;3,0;586;1
25;2;0;606,0;1,0;606;1
26;3;0;208,0;1,0;208;1
27;6;1;1441,0;2,0;720;1
28;0;0;3500,0;4,0;875;1
29;1;0;1006,0;3,0;335;1
30;2;0;472,0;1,0;472;1
31;4;0;260,0;1,0;260;1
32;5;1;876,0;2,0;438;1
33;0;0;278,0;1,0;278;1
34;5;1;1899,0;3,0;633;1
35;6;1;245,0;1,0;245;1
36;1;0;2412,0;2,0;1206;1
37;2;0;400,0;1,0;400;1
38;4;0;325,0;1,0;325;1
39;5;1;851,0;1,0;851;1
40;6;1;414,0;1,0;414;1
41;1;0;893,0;2,0;446;1
42;4;0;1210,0;3,0;403;1
43;0;0;2662,0;1,0;2662;1
44;1;0;770,0;2,0;385;1
45;2;0;396,0;2,0;198;1
46;5;1;222,0;1,0;222;1
47;1;0;1153,0;1,0;1153;1
48;2;0;3095,0;3,0;1031;1
49;4;0;477,0;1,0;477;1
50;0;0;712,0;3,0;237;1
51;2;0;285,0;1,0;285;1
52;0;0;2222,0;1,0;2222;1
53;1;0;285,0;1,0;285;1
54;4;0;1239,6951219512196;4,0;309;1
55;5;1;249,0;1,0;249;1
