dia;dia_semana;fim_semana;duracao;frequencia;durfreq;outlier
0;3;0;4000,0;9,0;444;1
1;4;0;1500,0;4,0;375;1
2;5;1;1500,0;4,0;375;1
3;6;1;1898,0;9,0;210;1
4;0;0;2118,0;9,0;235;1
5;1;0;2816,0;9,0;312;1
6;3;0;1998,0;9,0;222;1
7;4;0;2153,0;9,0;239;1
8;5;1;1924,0;6,0;320;1
9;0;0;2135,0;4,0;533;1
10;1;0;3338,0;6,0;556;1
11;2;0;1743,0;4,0;435;1
12;3;0;1500,0;4,0;375;1
13;5;1;1741,0;6,0;290;1
14;0;0;1710,0;8,0;213;1
15;2;0;1500,0;4,0;375;1
16;4;0;1500,0;4,0;375;1
17;6;1;4000,0;6,0;666;1
18;0;0;2461,0;5,0;492;1
19;1;0;2613,0;5,0;522;1
20;3;0;1792,0;4,0;448;1
21;4;0;1500,0;4,0;375;1
22;5;1;2244,0;4,0;561;1
23;0;0;1500,0;5,0;300;1
24;1;0;4000,0;6,0;666;1
25;2;0;1500,0;4,0;375;1
26;3;0;1500,0;4,0;375;1
27;6;1;4000,0;7,0;571;1
28;0;0;3284,0;9,0;364;1
29;1;0;3787,0;7,0;541;1
30;2;0;1500,0;4,0;375;1
31;4;0;4000,0;6,0;666;1
32;5;1;4000,0;6,0;666;1
33;0;0;1500,0;4,0;375;1
34;5;1;1500,0;6,0;250;1
35;6;1;1851,0;5,0;370;1
36;1;0;4000,0;9,0;444;1
37;2;0;1500,0;4,0;375;1
38;4;0;4000,0;9,0;444;1
39;5;1;2636,0;6,0;439;1
40;6;1;4000,0;7,0;571;1
41;1;0;2702,0;9,0;300;1
42;4;0;3070,0;8,0;383;1
43;0;0;3405,0;7,0;486;1
44;1;0;4000,0;9,0;444;1
45;2;0;2160,0;9,0;240;1
46;5;1;2136,0;8,0;267;1
47;1;0;2348,0;9,0;260;1
48;2;0;1500,0;5,0;300;1
49;4;0;2392,0;7,0;341;1
50;0;0;3863,0;7,0;551;1
51;2;0;4000,0;9,0;444;1
52;0;0;4000,0;7,0;571;1
53;1;0;1500,0;7,0;214;1
54;4;0;4000,0;9,0;444;1
55;5;1;1500,0;4,0;375;1
