dia;dia_semana;fim_semana;duracao;frequencia;durfreq;outlier
0;3;0;14000,0;9,0;1555;1
1;4;0;14000,0;9,0;1555;1
2;5;1;14000,0;9,0;1555;1
3;6;1;28849,0;17,0;1697;1
4;0;0;25717,0;13,0;1978;1
5;1;0;14766,0;12,0;1230;1
6;3;0;14913,0;11,0;1355;1
7;4;0;23342,0;12,0;1945;1
8;5;1;20507,0;10,0;2050;1
9;0;0;14000,0;9,0;1555;1
10;1;0;29428,0;17,0;1731;1
11;2;0;14002,0;9,0;1555;1
12;3;0;19217,0;15,0;1281;1
13;5;1;19671,0;11,0;1788;1
14;0;0;36953,0;13,037037037037036;2834;1
15;2;0;25418,0;13,0;1955;1
16;4;0;27750,0;16,0;1734;1
17;6;1;21376,0;12,0;1781;1
18;0;0;19789,0;9,0;2198;1
19;1;0;16311,0;14,0;1165;1
20;3;0;26964,0;10,0;2696;1
21;4;0;26106,0;16,0;1631;1
22;5;1;18782,0;12,0;1565;1
23;0;0;25918,0;17,0;1524;1
24;1;0;14387,0;9,0;1598;1
25;2;0;25303,0;11,0;2300;1
26;3;0;14000,0;12,0;1166;1
27;6;1;27760,0;12,0;2313;1
28;0;0;19355,0;11,0;1759;1
29;1;0;22389,0;12,0;1865;1
30;2;0;29323,0;15,0;1954;1
31;4;0;17138,0;17,0;1008;1
32;5;1;25234,0;17,0;1484;1
33;0;0;22499,0;11,0;2045;1
34;5;1;28622,0;15,0;1908;1
35;6;1;20177,0;10,0;2017;1
36;1;0;22826,0;14,0;1630;1
37;2;0;14279,0;10,0;1427;1
38;4;0;28470,0;16,0;1779;1
39;5;1;32430,0;14,0;2316;1
40;6;1;27058,0;12,0;2254;1
41;1;0;25743,0;17,0;1514;1
42;4;0;29361,0;15,0;1957;1
43;0;0;28075,0;17,0;1651;1
44;1;0;18748,0;14,0;1339;1
45;2;0;20074,0;11,0;1824;1
46;5;1;24724,0;17,0;1454;1
47;1;0;14000,0;9,0;1555;1
48;2;0;27610,0;14,0;1972;1
49;4;0;16335,0;10,0;1633;1
50;0;0;30725,0;16,0;1920;1
51;2;0;21719,0;15,0;1447;1
52;0;0;23314,0;15,0;1554;1
53;1;0;22892,0;11,0;2081;1
54;4;0;15463,0;16,0;966;1
55;5;1;20205,0;9,0;2245;1
