dia;dia_semana;fim_semana;duracao;frequencia;durfreq;outlier
0;3;0;28459,0;2,0;14229;1
1;4;0;48019,0;3,0;16006;1
2;5;1;16215,0;1,0;16215;1
3;6;1;47460,0;5,0;9492;1
4;0;0;10732,0;2,0;5366;1
5;1;0;29059,0;3,0;9686;1
6;3;0;33273,0;2,0;16636;1
7;4;0;32280,0;2,0;16140;1
8;5;1;39296,0;2,0;19648;1
9;0;0;9956,0;2,0;4978;1
10;1;0;31846,0;2,0;15923;1
11;2;0;23823,0;2,0;11911;1
12;3;0;34383,0;2,0;17191;1
13;5;1;31001,0;4,0;7750;1
14;0;0;2652,0;1,0;2652;1
15;2;0;28777,0;3,0;9592;1
16;4;0;49062,0;3,0;16354;1
17;6;1;10356,0;1,0;10356;1
18;0;0;22472,0;3,0;7490;1
19;1;0;67318,0;4,0;16829;1
20;3;0;4752,0;1,0;4752;1
21;4;0;29100,0;2,0;14550;1
22;5;1;48291,0;4,0;12072;1
23;0;0;10887,0;2,0;5443;1
24;1;0;47912,0;3,0;15970;1
25;2;0;30225,0;2,0;15112;1
26;3;0;34408,0;2,0;17204;1
27;6;1;24880,0;2,0;12440;1
28;0;0;10206,0;1,0;10206;1
29;1;0;30310,0;2,0;15155;1
30;2;0;29246,0;3,0;9748;1
31;4;0;9007,0;1,0;9007;1
32;5;1;26655,0;3,0;8885;1
33;0;0;27369,0;2,0;13684;1
34;5;1;33677,0;2,0;16838;1
35;6;1;20292,0;2,0;10146;1
36;1;0;27497,0;2,0;13748;1
37;2;0;57998,0;3,0;19332;1
38;4;0;27871,0;2,0;13935;1
39;5;1;53772,0;3,0;17924;1
40;6;1;9017,0;1,0;9017;1
41;1;0;30816,0;2,0;15408;1
42;4;0;9563,0;1,0;9563;1
43;0;0;27683,0;2,0;13841;1
44;1;0;28413,0;2,0;14206;1
45;2;0;31196,0;2,0;15598;1
46;5;1;47526,0;3,0;15842;1
47;1;0;38805,0;3,0;12935;1
48;2;0;14310,0;1,0;14310;1
49;4;0;49330,0;3,0;16443;1
50;0;0;7371,0;1,0;7371;1
51;2;0;47466,0;3,0;15822;1
52;0;0;26086,0;2,0;13043;1
53;1;0;28484,0;2,0;14242;1
54;4;0;8331,0;1,0;8331;1
55;5;1;21505,0;2,0;10752;1
