dia;dia_semana;fim_semana;BedToToilet;Eating;MealPreparation;Relax;Sleeping
1;3;0;158,0;626,0;4000,0;14000,0;28459,0
2;4;0;160,0;209,0;1500,0;14000,0;48019,0
3;5;1;189,0;1795,0;1500,0;14000,0;16215,0
4;6;1;348,0;3500,0;1898,0;28849,0;47460,0
5;0;0;184,0;3224,0;2118,0;25717,0;10732,0
6;1;0;300,0;2528,0;2816,0;14766,0;29059,0
7;3;0;149,0;1536,0;1998,0;14913,0;33273,0
8;4;0;205,0;1527,0;2153,0;23342,0;32280,0
9;5;1;227,0;1210,0;1924,0;20507,0;39296,0
10;0;0;207,0;2262,0;2135,0;14000,0;9956,0
11;1;0;117,0;623,0;3338,0;29428,0;31846,0
12;2;0;231,0;1121,0;1743,0;14002,0;23823,0
13;3;0;260,0;2368,0;1500,0;19217,0;34383,0
14;5;1;246,0;3217,0;1741,0;19671,0;31001,0
15;0;0;194,0;241,0;1710,0;36953,0;2652,0
16;2;0;318,0;727,0;1500,0;25418,0;28777,0
17;4;0;215,0;1537,0;1500,0;27750,0;49062,0
18;6;1;222,0;1762,0;4000,0;21376,0;10356,0
19;0;0;100,0;474,0;2461,0;19789,0;22472,0
20;1;0;228,0;1668,0;2613,0;16311,0;67318,0
21;3;0;250,0;1402,0;1792,0;26964,0;4752,0
22;4;0;150,0;369,0;1500,0;26106,0;29100,0
23;5;1;339,0;731,0;2244,0;18782,0;48291,0
24;0;0;180,0;267,0;1500,0;25918,0;10887,0
25;1;0;293,0;1759,0;4000,0;14387,0;47912,0
26;2;0;152,0;606,0;1500,0;25303,0;30225,0
27;3;0;182,0;208,0;1500,0;14000,0;34408,0
28;6;1;184,0;1441,0;4000,0;27760,0;24880,0
29;0;0;184,0;3500,0;3284,0;19355,0;10206,0
30;1;0;201,0;1006,0;3787,0;22389,0;30310,0
31;2;0;246,0;472,0;1500,0;29323,0;29246,0
32;4;0;159,0;260,0;4000,0;17138,0;9007,0
33;5;1;195,0;876,0;4000,0;25234,0;26655,0
34;0;0;280,0;278,0;1500,0;22499,0;27369,0
35;5;1;147,0;1899,0;1500,0;28622,0;33677,0
36;6;1;152,0;245,0;1851,0;20177,0;20292,0
37;1;0;201,0;2412,0;4000,0;22826,0;27497,0
38;2;0;155,0;400,0;1500,0;14279,0;57998,0
39;4;0;203,0;325,0;4000,0;28470,0;27871,0
40;5;1;193,0;851,0;2636,0;32430,0;53772,0
41;6;1;194,0;414,0;4000,0;27058,0;9017,0
42;1;0;209,0;893,0;2702,0;25743,0;30816,0
43;4;0;158,0;1210,0;3070,0;29361,0;9563,0
44;0;0;249,0;2662,0;3405,0;28075,0;27683,0
45;1;0;180,0;770,0;4000,0;18748,0;28413,0
46;2;0;131,0;396,0;2160,0;20074,0;31196,0
47;5;1;203,0;222,0;2136,0;24724,0;47526,0
48;1;0;167,0;1153,0;2348,0;14000,0;38805,0
49;2;0;258,0;3095,0;1500,0;27610,0;14310,0
50;4;0;200,0;477,0;2392,0;16335,0;49330,0
51;0;0;139,0;712,0;3863,0;30725,0;7371,0
52;2;0;106,0;285,0;4000,0;21719,0;47466,0
53;0;0;139,0;2222,0;4000,0;23314,0;26086,0
54;1;0;133,0;285,0;1500,0;22892,0;28484,0
55;4;0;188,0;1239,6951219512196;4000,0;15463,0;8331,0
56;5;1;176,0;249,0;1500,0;20205,0;21505,0
