dia;dia_semana;fim_semana;BedToToilet_freq;Eating_freq;MealPreparation_freq;Relax_freq;Sleeping_freq;BedToToilet_dur;Eating_dur;MealPreparation_dur;Relax_dur;Sleeping_dur;BedToToilet_dfreq;Eating_dfreq;MealPreparation_dfreq;Relax_dfreq;Sleeping_dfreq
1;3;0;1,0;4,0;9,0;9,0;2,0;158,0;626,0;4000,0;14000,0;28459,0;158;156;444;1555;14229
2;4;0;1,0;1,0;4,0;9,0;3,0;160,0;209,0;1500,0;14000,0;48019,0;160;209;375;1555;16006
3;5;1;1,0;3,0;4,0;9,0;1,0;189,0;1795,0;1500,0;14000,0;16215,0;189;598;375;1555;16215
4;6;1;2,0;2,933333333333333;9,0;17,0;5,0;348,0;3500,0;1898,0;28849,0;47460,0;174;1193;210;1697;9492
5;0;0;1,0;4,0;9,0;13,0;2,0;184,0;3224,0;2118,0;25717,0;10732,0;184;806;235;1978;5366
6;1;0;2,0;4,0;9,0;12,0;3,0;300,0;2528,0;2816,0;14766,0;29059,0;150;632;312;1230;9686
7;3;0;1,0;4,0;9,0;11,0;2,0;149,0;1536,0;1998,0;14913,0;33273,0;149;384;222;1355;16636
8;4;0;1,0;3,0;9,0;12,0;2,0;205,0;1527,0;2153,0;23342,0;32280,0;205;509;239;1945;16140
9;5;1;1,0;2,0;6,0;10,0;2,0;227,0;1210,0;1924,0;20507,0;39296,0;227;605;320;2050;19648
10;0;0;1,0;3,0;4,0;9,0;2,0;207,0;2262,0;2135,0;14000,0;9956,0;207;754;533;1555;4978
11;1;0;1,0;1,0;6,0;17,0;2,0;117,0;623,0;3338,0;29428,0;31846,0;117;623;556;1731;15923
12;2;0;2,0;2,0;4,0;9,0;2,0;231,0;1121,0;1743,0;14002,0;23823,0;115;560;435;1555;11911
13;3;0;1,0;2,0;4,0;15,0;2,0;260,0;2368,0;1500,0;19217,0;34383,0;260;1184;375;1281;17191
14;5;1;2,0;2,0;6,0;11,0;4,0;246,0;3217,0;1741,0;19671,0;31001,0;123;1608;290;1788;7750
15;0;0;1,0;1,0;8,0;13,037037037037036;1,0;194,0;241,0;1710,0;36953,0;2652,0;194;241;213;2834;2652
16;2;0;2,0;1,0;4,0;13,0;3,0;318,0;727,0;1500,0;25418,0;28777,0;159;727;375;1955;9592
17;4;0;1,0;1,0;4,0;16,0;3,0;215,0;1537,0;1500,0;27750,0;49062,0;215;1537;375;1734;16354
18;6;1;1,0;2,0;6,0;12,0;1,0;222,0;1762,0;4000,0;21376,0;10356,0;222;881;666;1781;10356
19;0;0;1,0;1,0;5,0;9,0;3,0;100,0;474,0;2461,0;19789,0;22472,0;100;474;492;2198;7490
20;1;0;2,0;3,0;5,0;14,0;4,0;228,0;1668,0;2613,0;16311,0;67318,0;114;556;522;1165;16829
21;3;0;1,0;2,0;4,0;10,0;1,0;250,0;1402,0;1792,0;26964,0;4752,0;250;701;448;2696;4752
22;4;0;1,0;1,0;4,0;16,0;2,0;150,0;369,0;1500,0;26106,0;29100,0;150;369;375;1631;14550
23;5;1;2,0;1,0;4,0;12,0;4,0;339,0;731,0;2244,0;18782,0;48291,0;169;731;561;1565;12072
24;0;0;1,0;1,0;5,0;17,0;2,0;180,0;267,0;1500,0;25918,0;10887,0;180;267;300;1524;5443
25;1;0;2,0;3,0;6,0;9,0;3,0;293,0;1759,0;4000,0;14387,0;47912,0;146;586;666;1598;15970
26;2;0;1,0;1,0;4,0;11,0;2,0;152,0;606,0;1500,0;25303,0;30225,0;152;606;375;2300;15112
27;3;0;1,0;1,0;4,0;12,0;2,0;182,0;208,0;1500,0;14000,0;34408,0;182;208;375;1166;17204
28;6;1;1,0;2,0;7,0;12,0;2,0;184,0;1441,0;4000,0;27760,0;24880,0;184;720;571;2313;12440
29;0;0;1,0;4,0;9,0;11,0;1,0;184,0;3500,0;3284,0;19355,0;10206,0;184;875;364;1759;10206
30;1;0;1,0;3,0;7,0;12,0;2,0;201,0;1006,0;3787,0;22389,0;30310,0;201;335;541;1865;15155
31;2;0;2,0;1,0;4,0;15,0;3,0;246,0;472,0;1500,0;29323,0;29246,0;123;472;375;1954;9748
32;4;0;1,0;1,0;6,0;17,0;1,0;159,0;260,0;4000,0;17138,0;9007,0;159;260;666;1008;9007
33;5;1;2,0;2,0;6,0;17,0;3,0;195,0;876,0;4000,0;25234,0;26655,0;97;438;666;1484;8885
34;0;0;2,0;1,0;4,0;11,0;2,0;280,0;278,0;1500,0;22499,0;27369,0;140;278;375;2045;13684
