vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variacao;atividade;semana
10;3;0;15;0,4642857142857143;1,0;0,4;0,5714285714285715;ocsvm;20-35;BedToToilet;1
10;12;0;6;0,7857142857142857;1,0;0,625;0,7692307692307693;ocsvm;20-35;BedToToilet;2
10;15;0;3;0,8928571428571429;1,0;0,7692307692307693;0,8695652173913044;ocsvm;20-35;BedToToilet;3
10;17;0;1;0,9642857142857143;1,0;0,9090909090909091;0,9523809523809523;ocsvm;20-35;BedToToilet;4
10;16;0;2;0,9285714285714286;1,0;0,8333333333333334;0,9090909090909091;ocsvm;20-35;BedToToilet;5
10;12;0;6;0,7857142857142857;1,0;0,625;0,7692307692307693;ocsvm;20-35;BedToToilet;6
10;16;0;2;0,9285714285714286;1,0;0,8333333333333334;0,9090909090909091;ocsvm;20-35;BedToToilet;7
10;14;0;4;0,8571428571428571;1,0;0,7142857142857143;0,8333333333333333;ocsvm;20-35;BedToToilet;8
9;18;1;0;0,9642857142857143;0,9;1,0;0,9473684210526316;lof;20-35;BedToToilet;1
7;18;3;0;0,8928571428571429;0,7;1,0;0,8235294117647058;lof;20-35;BedToToilet;2
7;18;3;0;0,8928571428571429;0,7;1,0;0,8235294117647058;lof;20-35;BedToToilet;3
9;16;1;2;0,8928571428571429;0,9;0,8181818181818182;0,8571428571428572;lof;20-35;BedToToilet;4
8;16;2;2;0,8571428571428571;0,8;0,8;0,8000000000000002;lof;20-35;BedToToilet;5
9;17;1;1;0,9285714285714286;0,9;0,9;0,9;lof;20-35;BedToToilet;6
9;11;1;7;0,7142857142857143;0,9;0,5625;0,6923076923076923;lof;20-35;BedToToilet;7
9;11;1;7;0,7142857142857143;0,9;0,5625;0,6923076923076923;lof;20-35;BedToToilet;8
1;17;9;1;0,6428571428571429;0,1;0,5;0,16666666666666669;iforest;20-35;BedToToilet;1
1;17;9;1;0,6428571428571429;0,1;0,5;0,16666666666666669;iforest;20-35;BedToToilet;2
5;15;5;3;0,7142857142857143;0,5;0,625;0,5555555555555556;iforest;20-35;BedToToilet;3
5;14;5;4;0,6785714285714286;0,5;0,5555555555555556;0,5263157894736842;iforest;20-35;BedToToilet;4
9;14;1;4;0,8214285714285714;0,9;0,6923076923076923;0,7826086956521738;iforest;20-35;BedToToilet;5
