******************************************************************
*    One-Year Scenario of Activities - Elderly in the SMAF Profile: P1  *
*    Coded version - 28/03/2015		                                   * 
*    Format : 										   *
*    <starting time> <end time> <action/activity code>		   *
*												   *
*    eHealth Monitoring Open Data Project					   *
*    https://sourceforge.net/projects/ehealthmonitoringproject/     *
*    Members : 										   *
*		Tayeb Lemlouma (Tayeb.Lemlouma@irisa.fr)		   *
*		Haider Mshali (hayder-hasan.mshali@u-bordeaux.fr)	   *
*		Damien Magoni (magoni@labri.fr)					   *
******************************************************************
29012 30160 3
30226 30413 5
30530 31119 2
31237 31824 7
31932 32138 4
32256 32753 13
32858 33172 4
33237 33670 15
33788 34991 1
35160 35721 14
35805 36183 7
36269 36613 4
36689 37033 13
37145 38093 17
38204 38691 7
38782 39034 4
39097 40239 17
40327 43011 16
43091 43433 4
43500 46704 1
46839 47007 18
47075 47425 4
47520 47711 34
47772 48085 13
48184 48704 7
48791 49069 4
49140 50152 17
50234 50527 4
50610 57956 24
58109 58555 13
58642 59034 7
59125 59452 4
59544 60565 17
60662 61138 7
61216 61481 4
61548 67907 19
67981 68332 2
68418 68811 6
68957 76822 33
77001 77864 17
77939 81946 19
82024 82403 2
82506 100099 24
100237 100633 7
100723 117407 24
117597 118754 3
118843 119102 5
119190 119779 7
119868 120160 4
120244 120654 13
120734 121238 2
121328 121648 4
121718 122028 15
122141 123743 1
123885 124148 4
124217 127557 35
127636 130113 16
130199 130466 4
130561 132768 1
132923 133073 18
133170 133550 7
133669 133980 4
134046 134618 7
134727 135483 17
135554 135810 4
135912 136404 13
136468 136706 4
136809 139171 19
139247 147032 24
147165 147485 4
147550 147930 13
147995 151312 19
151404 152141 12
152232 155731 35
155848 158081 16
158081 161681 1
161805 162031 34
162146 162326 4
162411 162849 13
162928 163249 34
163311 163523 4
163592 163994 13
164066 165109 17
165224 165605 2
165688 166045 2
166110 188807 24
188960 189388 7
189487 189789 4
189906 201597 24
201731 202067 7
202293 202592 4
202673 203172 13
203283 203833 2
203930 204405 7
204517 205276 3
205375 205610 5
205687 206111 15
206217 207908 1
208039 208284 4
208375 208776 7
208849 209192 4
209280 212722 19
212785 215927 16
216021 217442 19
217520 217860 13
217974 218295 7
218358 218618 4
218732 220886 1
220886 221148 4
221228 221462 34
221560 221887 7
221994 222337 4
222417 223970 19
224031 224157 18
224237 232523 24
232671 233183 7
233260 233565 4
233649 233967 13
234047 235376 17
235458 237824 19
237917 238363 2
238531 248375 33
248499 250777 19
250894 253925 16
253989 254506 2
254573 278199 24
278358 278883 7
278987 289772 24
290026 290678 3
290820 291326 13
291433 291679 4
291744 292276 7
292359 292638 4
292707 293242 2
293307 293560 4
293633 294129 15
294212 295497 1
295642 295855 4
295937 299252 19
299334 302162 16
302279 302507 4
302580 302827 34
302925 305050 1
305050 305293 4
305376 305864 13
305979 306303 4
306412 307242 17
307337 307521 18
307596 308031 7
308139 308496 4
308560 308909 34
309016 309292 4
309406 311357 19
311421 319013 24
319078 319277 4
319393 319799 13
319918 320502 7
320582 327719 19
327799 330791 16
330791 334391 1
334536 334824 34
334919 335685 12
335776 336101 7
336221 336465 4
336546 339942 35
340016 340440 2
340508 359356 24
359523 360031 7
360142 376324 24
376550 376857 4
376930 377311 13
377400 377692 4
377763 378312 7
378484 379149 3
379275 379722 2
379888 380124 4
380233 380679 15
380747 382181 1
382356 385440 19
385521 387959 11
388063 390039 10
390124 392641 16
392751 394338 19
394457 394922 13
395019 395835 17
395920 397711 19
397829 398626 17
398730 401075 19
401156 404149 1
404283 404488 18
404567 412830 24
412910 414967 19
415054 415426 7
415537 415768 4
415836 419142 16
419142 422742 1
422892 423160 34
423241 423976 12
424039 427590 35
427656 428156 2
428257 447856 24
448025 448331 7
448449 463636 24
463830 464058 4
464138 464484 7
464551 464890 4
464974 465602 3
465766 466304 13
466405 466746 4
466809 467168 2
467232 467578 4
467671 468126 15
468212 469707 1
469880 470072 4
470182 471019 17
471128 474523 19
474611 476754 16
476868 477155 4
477252 480527 1
480659 480833 18
480951 481437 13
481540 483156 19
483232 491434 24
491561 491866 4
491976 492495 13
492582 492998 7
493102 493359 4
493440 500344 19
500446 502443 16
502443 506043 1
506177 512482 19
512542 513101 2
513201 534804 24
534958 535295 7
535391 535581 4
535650 548265 24
548458 549370 3
549436 549774 5
549865 550208 7
550314 550647 4
550723 551053 2
551208 551525 4
551616 551967 13
552053 552403 4
552474 553008 15
553128 554809 1
554973 555243 4
555324 560856 33
560934 564372 16
564458 564773 4
564890 568065 1
568196 568376 18
568496 569052 13
569141 577563 24
577735 578179 7
578263 578570 4
578675 579274 13
579366 581123 17
581186 583264 19
583359 583818 7
583910 584168 4
584271 586101 16
586101 589701 1
589843 590342 7
590419 590635 4
590723 591565 17
591649 594969 35
595076 603950 33
604034 604604 2
604684 627676 24
627838 628251 7
628368 628646 4
628725 639997 24
640210 640392 4
