day_begin;day_end;begin_time;end_time;begin_time_seconds;end_time_seconds;activity_name;activity_number
1;1;08:03:32;08:22:40;29012;30160;Washing (take shower);3
1;1;08:23:46;08:26:53;30226;30413;Hair dray;5
1;1;08:28:50;08:38:39;30530;31119;Change clothes;2
1;1;08:40:37;08:50:24;31237;31824;Toileting;7
1;1;08:52:12;08:55:38;31932;32138;Washing hand/face;4
1;1;08:57:36;09:05:53;32256;32753;Make coffee;13
1;1;09:07:38;09:12:52;32858;33172;Washing hand/face;4
1;1;09:13:57;09:21:10;33237;33670;Make sandwich;15
1;1;09:23:08;09:43:11;33788;34991;Eating;1
1;1;09:46:00;09:55:21;35160;35721;Make tee;14
1;1;09:56:45;10:03:03;35805;36183;Toileting;7
1;1;10:04:29;10:10:13;36269;36613;Washing hand/face;4
1;1;10:11:29;10:17:13;36689;37033;Make coffee;13
1;1;10:19:05;10:34:53;37145;38093;Cell use;17
1;1;10:36:44;10:44:51;38204;38691;Toileting;7
1;1;10:46:22;10:50:34;38782;39034;Washing hand/face;4
1;1;10:51:37;11:10:39;39097;40239;Cell use;17
1;1;11:12:07;11:56:51;40327;43011;Make hot food;16
1;1;11:58:11;12:03:53;43091;43433;Washing hand/face;4
1;1;12:05:00;12:58:24;43500;46704;Eating;1
1;1;13:00:39;13:03:27;46839;47007;Take M.;18
1;1;13:04:35;13:10:25;47075;47425;Washing hand/face;4
1;1;13:12:00;13:15:11;47520;47711;Move dish;34
1;1;13:16:12;13:21:25;47772;48085;Make coffee;13
1;1;13:23:04;13:31:44;48184;48704;Toileting;7
1;1;13:33:11;13:37:49;48791;49069;Washing hand/face;4
1;1;13:39:00;13:55:52;49140;50152;Cell use;17
1;1;13:57:14;14:02:07;50234;50527;Washing hand/face;4
1;1;14:03:30;16:05:56;50610;57956;Sleep;24
1;1;16:08:29;16:15:55;58109;58555;Make coffee;13
1;1;16:17:22;16:23:54;58642;59034;Toileting;7
1;1;16:25:25;16:30:52;59125;59452;Washing hand/face;4
1;1;16:32:24;16:49:25;59544;60565;Cell use;17
1;1;16:51:02;16:58:58;60662;61138;Toileting;7
1;1;17:00:16;17:04:41;61216;61481;Washing hand/face;4
1;1;17:05:48;18:51:47;61548;67907;Watching TV;19
1;1;18:53:01;18:58:52;67981;68332;Change clothes;2
1;1;19:00:18;19:06:51;68418;68811;Make up;6
1;1;19:09:17;21:20:22;68957;76822;Go out;33
1;1;21:23:21;21:37:44;77001;77864;Cell use;17
1;1;21:38:59;22:45:46;77939;81946;Watching TV;19
1;1;22:47:04;22:53:23;82024;82403;Change clothes;2
1;2;22:55:06;03:48:19;82506;100099;Sleep;24
2;2;03:50:37;03:57:13;100237;100633;Toileting;7
2;2;03:58:43;08:36:47;100723;117407;Sleep;24
2;2;08:39:57;08:59:14;117597;118754;Washing (take shower);3
2;2;09:00:43;09:05:02;118843;119102;Hair dray;5
2;2;09:06:30;09:16:19;119190;119779;Toileting;7
2;2;09:17:48;09:22:40;119868;120160;Washing hand/face;4
2;2;09:24:04;09:30:54;120244;120654;Make coffee;13
2;2;09:32:14;09:40:38;120734;121238;Change clothes;2
2;2;09:42:08;09:47:28;121328;121648;Washing hand/face;4
2;2;09:48:38;09:53:48;121718;122028;Make sandwich;15
2;2;09:55:41;10:22:23;122141;123743;Eating;1
2;2;10:24:45;10:29:08;123885;124148;Washing hand/face;4
2;2;10:30:17;11:25:57;124217;127557;Reading;35
2;2;11:27:16;12:08:33;127636;130113;Make hot food;16
2;2;12:09:59;12:14:26;130199;130466;Washing hand/face;4
2;2;12:16:01;12:52:48;130561;132768;Eating;1
2;2;12:55:23;12:57:53;132923;133073;Take M.;18
2;2;12:59:30;13:05:50;133170;133550;Toileting;7
2;2;13:07:49;13:13:00;133669;133980;Washing hand/face;4
