dia;dia_semana;fim_semana;cclothes;eating;mcoffe;mhotfood;toileting;whandface
1;0;0;3,0;2,0;4,0;1,0;6,0;10,0
2;1;0;3,0;3,0;5,0;2,0;4,0;10,0
3;2;0;3,0;2,0;3,0;2,0;7,0;8,0
4;3;0;2,0;3,0;3,0;2,0;5,0;11,0
5;4;0;2,0;3,0;2,0;2,0;3,0;4,0
6;5;1;2,0;3,0;3,0;2,0;3,0;8,0
7;6;1;2,0;3,0;3,0;2,0;5,0;9,0
8;0;0;2,0;2,0;3,0;1,0;5,0;10,0
9;1;0;2,0;3,0;2,0;2,0;5,0;7,0
10;2;0;2,0;2,0;2,0;2,0;3,0;6,0
11;3;0;4,0;2,0;3,0;1,0;4,0;6,0
12;4;0;1,0;3,0;1,0;2,0;6,0;10,0
13;5;1;3,0;3,0;2,0;2,0;2,0;6,0
14;6;1;3,0;3,0;2,0;2,0;3,0;7,0
15;0;0;3,0;2,0;2,0;1,0;5,0;4,0
16;1;0;1,0;3,0;5,0;2,0;5,0;10,0
17;2;0;2,0;2,0;4,0;2,0;5,0;6,0
18;3;0;4,0;3,0;3,0;2,0;4,0;6,0
19;4;0;2,0;2,0;2,0;1,0;4,0;10,0
20;5;1;3,0;2,0;4,0;1,0;4,0;6,0
21;6;1;3,0;2,0;2,0;1,0;1,0;4,0
22;0;0;3,0;2,0;3,0;2,0;3,0;7,0
23;1;0;4,0;4,0;2,0;1,0;4,0;8,0
24;2;0;1,0;3,0;3,0;2,0;5,0;10,0
25;3;0;3,0;3,0;3,0;2,0;3,0;5,0
26;4;0;2,0;3,0;1,0;2,0;5,0;7,0
27;5;1;2,0;3,0;3,0;2,0;2,0;5,0
28;6;1;3,0;3,0;2,0;2,0;2,0;7,0
29;0;0;2,0;3,0;3,0;2,0;5,0;7,0
30;1;0;3,0;2,0;2,0;1,0;5,0;6,0
31;2;0;2,0;3,0;2,0;2,0;4,0;8,0
32;3;0;2,0;3,0;2,0;2,0;4,0;6,0
33;4;0;2,0;3,0;1,0;2,0;3,0;6,0
34;5;1;4,0;3,0;3,0;1,0;5,0;7,0
35;6;1;3,0;3,0;1,0;2,0;2,0;7,0
36;0;0;2,0;3,0;3,0;2,0;8,0;8,0
37;1;0;2,0;3,0;4,0;2,0;8,0;11,0
38;2;0;1,0;3,0;2,0;2,0;6,0;12,0
39;3;0;3,0;3,0;3,0;2,0;3,0;5,0
40;4;0;1,0;2,0;2,0;1,0;5,0;6,0
41;5;1;5,0;3,0;4,0;2,0;4,0;4,0
42;6;1;3,0;3,0;2,0;2,0;4,0;9,0
43;0;0;3,0;2,0;1,0;2,0;2,0;7,0
44;1;0;2,0;3,0;4,0;2,0;5,0;10,0
45;2;0;3,0;2,0;4,0;1,0;5,0;10,0
46;3;0;2,0;3,0;5,0;2,0;7,0;10,0
47;4;0;2,0;3,0;4,0;2,0;5,0;9,0
48;5;1;5,0;2,0;2,0;1,0;4,0;7,0
49;6;1;2,0;3,0;3,0;2,0;5,0;9,0
50;0;0;3,0;3,0;3,0;2,0;4,0;6,0
51;1;0;2,0;3,0;2,0;2,0;5,0;8,0
52;2;0;3,0;2,0;5,0;1,0;3,0;4,0
53;3;0;2,0;3,0;1,0;2,0;7,0;7,0
54;4;0;2,0;2,0;2,0;1,0;4,0;5,0
55;5;1;3,0;2,0;2,0;1,0;3,0;7,0
56;6;1;2,0;3,0;1,0;2,0;4,0;7,0
57;0;0;1,0;3,0;3,0;2,0;2,0;8,0
58;1;0;3,0;3,0;2,0;2,0;4,0;4,0
59;2;0;2,0;2,0;3,0;1,0;3,0;6,0
60;3;0;3,0;2,0;3,0;1,0;4,0;6,0
61;4;0;2,0;3,0;3,0;2,0;5,0;9,0
62;5;1;2,0;2,0;2,0;1,0;5,0;8,0
63;6;1;2,0;3,0;3,0;2,0;5,0;8,0
64;0;0;2,0;3,0;5,0;2,0;3,0;7,0
65;1;0;2,0;2,0;2,0;1,0;6,0;13,0
66;2;0;3,0;3,0;4,0;2,0;6,0;7,0
67;3;0;3,0;3,0;3,0;2,0;3,0;11,0
68;4;0;2,0;3,0;3,0;2,0;7,0;10,0
69;5;1;2,0;3,0;5,0;2,0;5,0;11,0
70;6;1;3,0;3,0;2,0;2,0;3,0;7,0
71;0;0;2,0;3,0;5,0;1,0;4,0;7,0
72;1;0;3,0;2,0;3,0;2,0;4,0;9,0
73;2;0;3,0;3,0;3,0;2,0;5,0;7,0
74;3;0;2,0;3,0;3,0;2,0;7,0;11,0
75;4;0;2,0;3,0;1,0;2,0;3,0;5,0
76;5;1;3,0;3,0;3,0;2,0;2,0;8,0
77;6;1;4,0;3,0;2,0;2,0;5,0;7,0
78;0;0;4,0;2,0;3,0;1,0;4,0;6,0
79;1;0;3,0;2,0;3,0;1,0;3,0;8,0
80;2;0;2,0;3,0;2,0;2,0;8,0;11,0
81;3;0;2,0;2,0;2,0;2,0;6,0;6,0
82;4;0;2,0;3,0;2,0;2,0;5,0;9,0
83;5;1;2,0;3,0;4,0;2,0;4,0;5,0
84;6;1;3,0;3,0;3,0;2,0;2,0;9,0
85;0;0;3,0;2,0;1,0;1,0;5,0;7,0
86;1;0;1,0;3,0;3,0;2,0;6,0;8,0
87;2;0;3,0;3,0;2,0;2,0;4,0;7,0
88;3;0;2,0;2,0;1,0;1,0;5,0;9,0
89;4;0;2,0;3,0;3,0;2,0;5,0;7,0
90;5;1;2,0;3,0;2,0;2,0;5,0;6,0
91;6;1;2,0;3,0;2,0;2,0;5,0;6,0
92;0;0;3,0;3,0;4,0;2,0;7,0;11,0
93;1;0;3,0;3,0;4,0;2,0;3,0;7,0
94;2;0;4,0;3,0;3,0;2,0;4,0;9,0
95;3;0;3,0;3,0;3,0;2,0;6,0;10,0
96;4;0;3,0;2,0;3,0;1,0;3,0;6,0
