dia;dia_semana;fim_semana;duracao;frequencia;durfreq;outlier
0;0;0;1319,0;3,0;439,6666666666667;1
1;1;0;1242,0;3,0;414,0;1
2;2;0;1513,0;3,0;504,3333333333333;1
3;3;0;959,0;2,0;479,5;1
4;4;0;947,0;2,0;473,5;1
5;5;1;918,0;2,0;459,0;1
6;6;1;900,0;2,0;450,0;1
7;0;0;898,0;2,0;449,0;1
8;1;0;877,0;2,0;438,5;1
9;2;0;1107,0;2,0;553,5;1
10;3;0;1825,0;4,0;456,25;1
11;4;0;394,0;1,0;394,0;1
12;5;1;1346,0;3,0;448,6666666666667;1
13;6;1;1187,0;3,0;395,6666666666667;1
14;0;0;1208,0;3,0;402,6666666666667;1
15;1;0;550,0;1,0;550,0;1
16;2;0;1060,0;2,0;530,0;1
17;3;0;1783,0;4,0;445,75;1
18;4;0;950,0;2,0;475,0;1
19;5;1;1622,0;3,0;540,6666666666666;1
20;6;1;1654,0;3,0;551,3333333333334;1
21;0;0;1263,0;3,0;421,0;1
22;1;0;1809,0;4,0;452,25;1
23;2;0;394,0;1,0;394,0;1
24;3;0;1488,0;3,0;496,0;1
25;4;0;970,0;2,0;485,0;1
26;5;1;763,0;2,0;381,5;1
27;6;1;1105,0;3,0;368,3333333333333;1
28;0;0;826,0;2,0;413,0;1
29;1;0;1197,0;3,0;399,0;1
30;2;0;888,0;2,0;444,0;1
31;3;0;826,0;2,0;413,0;1
32;4;0;866,0;2,0;433,0;1
33;5;1;1617,0;4,0;404,25;1
34;6;1;1163,0;3,0;387,6666666666667;1
35;0;0;931,0;2,0;465,5;1
36;1;0;827,0;2,0;413,5;1
37;2;0;581,0;1,0;581,0;1
38;3;0;1337,0;3,0;445,6666666666667;1
39;4;0;403,0;1,0;403,0;1
40;5;1;2410,0;5,0;482,0;1
41;6;1;1472,0;3,0;490,6666666666667;1
42;0;0;1305,0;3,0;435,0;1
43;1;0;924,0;2,0;462,0;1
44;2;0;1168,0;3,0;389,3333333333333;1
45;3;0;860,0;2,0;430,0;1
46;4;0;1045,0;2,0;522,5;1
47;5;1;2314,0;5,0;462,8;1
48;6;1;637,0;2,0;318,5;1
49;0;0;1510,0;3,0;503,3333333333333;1
50;1;0;948,0;2,0;474,0;1
51;2;0;1552,0;3,0;517,3333333333334;1
52;3;0;958,0;2,0;479,0;1
53;4;0;972,0;2,0;486,0;1
54;5;1;1589,0;3,0;529,6666666666666;1
55;6;1;673,0;2,0;336,5;1
56;0;0;566,0;1,0;566,0;1
57;1;0;1404,0;3,0;468,0;1
58;2;0;980,0;2,0;490,0;1
59;3;0;1381,0;3,0;460,3333333333333;1
60;4;0;1138,0;2,0;569,0;1
61;5;1;1061,0;2,0;530,5;1
62;6;1;1036,0;2,0;518,0;1
63;0;0;1020,0;2,0;510,0;1
64;1;0;836,0;2,0;418,0;1
65;2;0;1266,0;3,0;422,0;1
66;3;0;1373,0;3,0;457,6666666666667;1
67;4;0;907,0;2,0;453,5;1
68;5;1;722,0;2,0;361,0;1
69;6;1;1215,0;3,0;405,0;1
70;0;0;746,0;2,0;373,0;1
71;1;0;1367,0;3,0;455,6666666666667;1
72;2;0;1573,0;3,0;524,3333333333334;1
73;3;0;836,0;2,0;418,0;1
74;4;0;982,0;2,0;491,0;1
75;5;1;1555,0;3,0;518,3333333333334;1
76;6;1;1962,0;4,0;490,5;1
77;0;0;1828,0;4,0;457,0;1
78;1;0;1545,0;3,0;515,0;1
79;2;0;982,0;2,0;491,0;1
80;3;0;743,0;2,0;371,5;1
81;4;0;913,0;2,0;456,5;1
82;5;1;965,0;2,0;482,5;1
83;6;1;1119,0;3,0;373,0;1
84;0;0;1235,0;3,0;411,6666666666667;1
85;1;0;370,0;1,0;370,0;1
86;2;0;1412,0;3,0;470,6666666666667;1
87;3;0;969,0;2,0;484,5;1
88;4;0;911,0;2,0;455,5;1
89;5;1;920,0;2,0;460,0;1
90;6;1;1046,0;2,0;523,0;1
91;0;0;1144,0;3,0;381,3333333333333;1
92;1;0;1385,0;3,0;461,6666666666667;1
93;2;0;1776,0;4,0;444,0;1
94;3;0;1684,0;3,0;561,3333333333334;1
95;4;0;1562,0;3,0;520,6666666666666;1
96;5;1;841,0;2,0;420,5;1
97;6;1;1971,0;4,0;492,75;1
98;0;0;1110,0;2,0;555,0;1
99;1;0;872,0;2,0;436,0;1
100;2;0;898,0;2,0;449,0;1
101;3;0;926,0;2,0;463,0;1
102;4;0;1649,0;3,0;549,6666666666666;1
103;5;1;959,0;2,0;479,5;1
104;6;1;1925,0;4,0;481,25;1
105;0;0;1115,0;3,0;371,6666666666667;1
106;1;0;908,0;2,0;454,0;1
107;2;0;915,0;2,0;457,5;1
108;3;0;1384,0;3,0;461,3333333333333;1
109;4;0;895,0;2,0;447,5;1
110;5;1;1147,0;2,0;573,5;1
111;6;1;867,0;2,0;433,5;1
112;0;0;826,0;2,0;413,0;1
113;1;0;1028,0;3,0;342,6666666666667;1
114;2;0;1106,0;3,0;368,6666666666667;1
115;3;0;720,0;2,0;360,0;1
116;4;0;1063,0;2,0;531,5;1
117;5;1;1071,0;3,0;357,0;1
118;6;1;947,0;2,0;473,5;1
119;0;0;545,0;1,0;545,0;1
120;1;0;644,0;2,0;322,0;1
121;2;0;702,0;2,0;351,0;1
122;3;0;914,0;2,0;457,0;1
123;4;0;863,0;2,0;431,5;1
124;5;1;837,0;2,0;418,5;1
125;6;1;1047,0;2,0;523,5;1
