dia;dia_semana;fim_semana;duracao;frequencia;durfreq;outlier
0;0;0;4407,0;2,0;2203,5;1
1;1;0;7409,0;3,0;2469,6666666666665;1
2;2;0;3845,0;2,0;1922,5;1
3;3;0;7010,0;3,0;2336,6666666666665;1
4;4;0;8027,0;3,0;2675,6666666666665;1
5;5;1;8370,0;3,0;2790,0;1
6;6;1;8456,0;3,0;2818,6666666666665;1
7;0;0;5085,0;2,0;2542,5;1
8;1;0;7830,0;3,0;2610,0;1
9;2;0;4604,0;2,0;2302,0;1
10;3;0;5026,0;2,0;2513,0;1
11;4;0;7912,0;3,0;2637,333333333333;1
12;5;1;7297,0;3,0;2432,333333333333;1
13;6;1;7075,0;3,0;2358,333333333333;1
14;0;0;4842,0;2,0;2421,0;1
15;1;0;7634,0;3,0;2544,6666666666665;1
16;2;0;3131,0;2,0;1565,5;1
17;3;0;7733,0;3,0;2577,6666666666665;1
18;4;0;4011,0;2,0;2005,5;1
19;5;1;3820,0;2,0;1910,0;1
20;6;1;3789,0;2,0;1894,5;1
21;0;0;3829,0;2,0;1914,5;1
22;1;0;11148,0;4,0;2787,0;1
23;2;0;8878,0;3,0;2959,333333333333;1
24;3;0;8383,0;3,0;2794,333333333333;1
25;4;0;8189,0;3,0;2729,6666666666665;1
26;5;1;8466,0;3,0;2822,0;1
27;6;1;7869,0;3,0;2623,0;1
28;0;0;7503,0;3,0;2501,0;1
29;1;0;3805,0;2,0;1902,5;1
30;2;0;8476,0;3,0;2825,333333333333;1
31;3;0;8232,0;3,0;2744,0;1
32;4;0;8686,0;3,0;2895,333333333333;1
33;5;1;7071,0;3,0;2357,0;1
34;6;1;8486,0;3,0;2828,6666666666665;1
35;0;0;8288,0;3,0;2762,6666666666665;1
36;1;0;6692,0;3,0;2230,6666666666665;1
37;2;0;8477,0;3,0;2825,6666666666665;1
38;3;0;7719,0;3,0;2573,0;1
39;4;0;3852,0;2,0;1926,0;1
40;5;1;7604,0;3,0;2534,6666666666665;1
41;6;1;7224,0;3,0;2408,0;1
42;0;0;4245,0;2,0;2122,5;1
43;1;0;7267,0;3,0;2422,333333333333;1
44;2;0;4296,0;2,0;2148,0;1
45;3;0;7307,0;3,0;2435,6666666666665;1
46;4;0;7043,0;3,0;2347,6666666666665;1
47;5;1;4323,0;2,0;2161,5;1
48;6;1;7565,0;3,0;2521,6666666666665;1
49;0;0;7978,0;3,0;2659,333333333333;1
50;1;0;7147,0;3,0;2382,333333333333;1
51;2;0;4722,0;2,0;2361,0;1
52;3;0;8132,0;3,0;2710,6666666666665;1
53;4;0;4116,0;2,0;2058,0;1
54;5;1;3593,0;2,0;1796,5;1
55;6;1;7603,0;3,0;2534,333333333333;1
56;0;0;6929,0;3,0;2309,6666666666665;1
57;1;0;8393,0;3,0;2797,6666666666665;1
58;2;0;4519,0;2,0;2259,5;1
59;3;0;3131,0;2,0;1565,5;1
60;4;0;8772,0;3,0;2924,0;1
61;5;1;3726,0;2,0;1863,0;1
62;6;1;7029,0;3,0;2343,0;1
63;0;0;8067,0;3,0;2689,0;1
64;1;0;4785,0;2,0;2392,5;1
65;2;0;7065,0;3,0;2355,0;1
66;3;0;7702,0;3,0;2567,333333333333;1
67;4;0;8062,0;3,0;2687,333333333333;1
68;5;1;8014,0;3,0;2671,333333333333;1
69;6;1;8015,0;3,0;2671,6666666666665;1
70;0;0;7305,0;3,0;2435,0;1
71;1;0;4584,0;2,0;2292,0;1
72;2;0;8480,0;3,0;2826,6666666666665;1
73;3;0;7926,0;3,0;2642,0;1
74;4;0;7154,0;3,0;2384,6666666666665;1
75;5;1;8269,0;3,0;2756,333333333333;1
76;6;1;8022,0;3,0;2674,0;1
77;0;0;4329,0;2,0;2164,5;1
78;1;0;4048,0;2,0;2024,0;1
79;2;0;7561,0;3,0;2520,333333333333;1
80;3;0;5025,0;2,0;2512,5;1
81;4;0;7242,0;3,0;2414,0;1
82;5;1;8845,0;3,0;2948,333333333333;1
83;6;1;6998,0;3,0;2332,6666666666665;1
84;0;0;4008,0;2,0;2004,0;1
85;1;0;7589,0;3,0;2529,6666666666665;1
86;2;0;7848,0;3,0;2616,0;1
87;3;0;5106,0;2,0;2553,0;1
88;4;0;7023,0;3,0;2341,0;1
89;5;1;7648,0;3,0;2549,333333333333;1
90;6;1;7447,0;3,0;2482,333333333333;1
91;0;0;7584,0;3,0;2528,0;1
92;1;0;7493,0;3,0;2497,6666666666665;1
93;2;0;8029,0;3,0;2676,333333333333;1
94;3;0;7798,0;3,0;2599,333333333333;1
95;4;0;5054,0;2,0;2527,0;1
96;5;1;7527,0;3,0;2509,0;1
97;6;1;3896,0;2,0;1948,0;1
98;0;0;3609,0;2,0;1804,5;1
99;1;0;8392,0;3,0;2797,333333333333;1
100;2;0;6949,0;3,0;2316,333333333333;1
101;3;0;7287,0;3,0;2429,0;1
102;4;0;5060,0;2,0;2530,0;1
103;5;1;7452,0;3,0;2484,0;1
104;6;1;3809,0;2,0;1904,5;1
105;0;0;7603,0;3,0;2534,333333333333;1
106;1;0;7714,0;3,0;2571,333333333333;1
107;2;0;8517,0;3,0;2839,0;1
108;3;0;5255,0;2,0;2627,5;1
109;4;0;8222,0;3,0;2740,6666666666665;1
110;5;1;7792,0;3,0;2597,333333333333;1
111;6;1;7221,0;3,0;2407,0;1
112;0;0;8708,0;3,0;2902,6666666666665;1
113;1;0;8195,0;3,0;2731,6666666666665;1
114;2;0;8125,0;3,0;2708,333333333333;1
115;3;0;8378,0;3,0;2792,6666666666665;1
116;4;0;7721,0;3,0;2573,6666666666665;1
117;5;1;3616,0;2,0;1808,0;1
118;6;1;7407,0;3,0;2469,0;1
119;0;0;7684,0;3,0;2561,333333333333;1
120;1;0;7897,0;3,0;2632,333333333333;1
121;2;0;7414,0;3,0;2471,333333333333;1
122;3;0;7134,0;3,0;2378,0;1
123;4;0;7784,0;3,0;2594,6666666666665;1
124;5;1;4744,0;2,0;2372,0;1
125;6;1;8354,0;3,0;2784,6666666666665;1
