dia;dia_semana;fim_semana;duracao;frequencia;durfreq;outlier
0;0;0;2840,0;6,0;473,3333333333333;1
1;1;0;1937,0;4,0;484,25;1
2;2;0;2800,0;7,0;400,0;1
3;3;0;2401,0;5,0;480,2;1
4;4;0;1429,0;3,0;476,3333333333333;1
5;5;1;1068,0;3,0;356,0;1
6;6;1;2082,0;5,0;416,4;1
7;0;0;2121,0;5,0;424,2;1
8;1;0;2615,0;5,0;523,0;1
9;2;0;1373,0;3,0;457,6666666666667;1
10;3;0;1652,0;4,0;413,0;1
11;4;0;2533,0;6,0;422,1666666666667;1
12;5;1;1032,0;2,0;516,0;1
13;6;1;1556,0;3,0;518,6666666666666;1
14;0;0;2230,0;5,0;446,0;1
15;1;0;2341,0;5,0;468,2;1
16;2;0;2462,0;5,0;492,4;1
17;3;0;1408,0;4,0;352,0;1
18;4;0;1858,0;4,0;464,5;1
19;5;1;2030,0;4,0;507,5;1
20;6;1;410,0;1,0;410,0;1
21;0;0;1374,0;3,0;458,0;1
22;1;0;2079,0;4,0;519,75;1
23;2;0;2807,0;5,0;561,4;1
24;3;0;1084,0;3,0;361,3333333333333;1
25;4;0;2323,0;5,0;464,6;1
26;5;1;976,0;2,0;488,0;1
27;6;1;781,0;2,0;390,5;1
28;0;0;2220,0;5,0;444,0;1
29;1;0;1994,0;5,0;398,8;1
30;2;0;1565,0;4,0;391,25;1
31;3;0;1932,0;4,0;483,0;1
32;4;0;1533,0;3,0;511,0;1
33;5;1;2341,0;5,0;468,2;1
34;6;1;778,0;2,0;389,0;1
35;0;0;3353,0;8,0;419,125;1
36;1;0;3613,0;8,0;451,625;1
37;2;0;2456,0;6,0;409,3333333333333;1
38;3;0;1269,0;3,0;423,0;1
39;4;0;2064,0;5,0;412,8;1
40;5;1;1831,0;4,0;457,75;1
41;6;1;1587,0;4,0;396,75;1
42;0;0;929,0;2,0;464,5;1
43;1;0;2226,0;5,0;445,2;1
44;2;0;2620,0;5,0;524,0;1
45;3;0;3664,0;7,0;523,4285714285714;1
46;4;0;2249,0;5,0;449,8;1
47;5;1;1956,0;4,0;489,0;1
48;6;1;2063,0;5,0;412,6;1
49;0;0;1683,0;4,0;420,75;1
50;1;0;2273,0;5,0;454,6;1
51;2;0;1161,0;3,0;387,0;1
52;3;0;3297,0;7,0;471,0;1
53;4;0;1914,0;4,0;478,5;1
54;5;1;1102,0;3,0;367,3333333333333;1
55;6;1;1769,0;4,0;442,25;1
56;0;0;874,0;2,0;437,0;1
57;1;0;1844,0;4,0;461,0;1
58;2;0;1472,0;3,0;490,6666666666667;1
59;3;0;1826,0;4,0;456,5;1
60;4;0;1968,0;5,0;393,6;1
61;5;1;2243,0;5,0;448,6;1
62;6;1;1857,0;5,0;371,4;1
63;0;0;1352,0;3,0;450,6666666666667;1
64;1;0;2961,0;6,0;493,5;1
65;2;0;2991,0;6,0;498,5;1
66;3;0;1319,0;3,0;439,6666666666667;1
67;4;0;3015,0;7,0;430,7142857142857;1
68;5;1;2266,0;5,0;453,2;1
69;6;1;1319,0;3,0;439,6666666666667;1
70;0;0;1750,0;4,0;437,5;1
71;1;0;1566,0;4,0;391,5;1
72;2;0;2420,0;5,0;484,0;1
73;3;0;3090,0;7,0;441,4285714285714;1
74;4;0;1460,0;3,0;486,6666666666667;1
75;5;1;1039,0;2,0;519,5;1
76;6;1;2369,0;5,0;473,8;1
77;0;0;1772,0;4,0;443,0;1
78;1;0;1164,0;3,0;388,0;1
79;2;0;3276,0;8,0;409,5;1
80;3;0;2639,0;6,0;439,8333333333333;1
81;4;0;2574,0;5,0;514,8;1
82;5;1;1693,0;4,0;423,25;1
83;6;1;878,0;2,0;439,0;1
84;0;0;2268,0;5,0;453,6;1
85;1;0;2674,0;6,0;445,6666666666667;1
86;2;0;1938,0;4,0;484,5;1
87;3;0;2390,0;5,0;478,0;1
88;4;0;2110,0;5,0;422,0;1
89;5;1;2130,0;5,0;426,0;1
90;6;1;2188,0;5,0;437,6;1
91;0;0;3049,0;7,0;435,57142857142856;1
92;1;0;1350,0;3,0;450,0;1
93;2;0;1893,0;4,0;473,25;1
94;3;0;2529,0;6,0;421,5;1
95;4;0;1213,0;3,0;404,3333333333333;1
96;5;1;2098,0;5,0;419,6;1
97;6;1;2473,0;5,0;494,6;1
98;0;0;2270,0;5,0;454,0;1
99;1;0;2414,0;5,0;482,8;1
100;2;0;1480,0;3,0;493,3333333333333;1
101;3;0;2485,0;5,0;497,0;1
102;4;0;741,0;2,0;370,5;1
103;5;1;2175,0;4,0;543,75;1
104;6;1;584,0;1,0;584,0;1
105;0;0;2681,0;6,0;446,8333333333333;1
106;1;0;2517,0;5,0;503,4;1
107;2;0;1921,0;4,0;480,25;1
108;3;0;1665,0;4,0;416,25;1
109;4;0;1593,0;3,0;531,0;1
110;5;1;2814,0;6,0;469,0;1
111;6;1;1402,0;3,0;467,3333333333333;1
112;0;0;1546,0;3,0;515,3333333333334;1
113;1;0;2118,0;5,0;423,6;1
114;2;0;2929,0;7,0;418,4285714285714;1
115;3;0;2492,0;6,0;415,3333333333333;1
116;4;0;2992,0;6,0;498,6666666666667;1
117;5;1;2222,0;5,0;444,4;1
118;6;1;2186,0;5,0;437,2;1
119;0;0;1947,0;4,0;486,75;1
120;1;0;1355,0;3,0;451,6666666666667;1
121;2;0;2462,0;5,0;492,4;1
122;3;0;1592,0;3,0;530,6666666666666;1
123;4;0;2180,0;5,0;436,0;1
124;5;1;2463,0;5,0;492,6;1
125;6;1;2810,0;6,0;468,3333333333333;1
