dia;dia_semana;fim_semana;duracao;frequencia;durfreq;outlier
0;0;0;2971,0;10,0;297,1;1
1;1;0;2659,0;10,0;265,9;1
2;2;0;2359,0;8,0;294,875;1
3;3;0;2862,0;11,0;260,1818181818182;1
4;4;0;1066,0;4,0;266,5;1
5;5;1;2295,0;8,0;286,875;1
6;6;1;2556,0;9,0;284,0;1
7;0;0;2662,0;10,0;266,2;1
8;1;0;2133,0;7,0;304,7142857142857;1
9;2;0;1615,0;6,0;269,1666666666667;1
10;3;0;1661,0;6,0;276,8333333333333;1
11;4;0;2769,0;10,0;276,9;1
12;5;1;1458,0;6,0;243,0;1
13;6;1;1787,0;7,0;255,28571428571428;1
14;0;0;1058,0;4,0;264,5;1
15;1;0;2497,0;10,0;249,7;1
16;2;0;1759,0;6,0;293,1666666666667;1
17;3;0;1371,0;6,0;228,5;1
18;4;0;2556,0;10,0;255,6;1
19;5;1;1724,0;6,0;287,3333333333333;1
20;6;1;1186,0;4,0;296,5;1
21;0;0;1866,0;7,0;266,57142857142856;1
22;1;0;2224,0;8,0;278,0;1
23;2;0;2569,0;10,0;256,9;1
24;3;0;1362,0;5,0;272,4;1
25;4;0;1898,0;7,0;271,1428571428572;1
26;5;1;1148,0;5,0;229,6;1
27;6;1;1552,0;7,0;221,7142857142857;1
28;0;0;1904,0;7,0;272,0;1
29;1;0;1587,0;6,0;264,5;1
30;2;0;2069,0;8,0;258,625;1
31;3;0;1574,0;6,0;262,3333333333333;1
32;4;0;1654,0;6,0;275,6666666666667;1
33;5;1;1858,0;7,0;265,42857142857144;1
34;6;1;1954,0;7,0;279,1428571428572;1
35;0;0;2366,0;8,0;295,75;1
36;1;0;2436,0;11,0;221,45454545454547;1
37;2;0;3203,0;12,0;266,9166666666667;1
38;3;0;1438,0;5,0;287,6;1
39;4;0;1525,0;6,0;254,16666666666663;1
40;5;1;938,0;4,0;234,5;1
41;6;1;2546,0;9,0;282,8888888888889;1
42;0;0;1734,0;7,0;247,7142857142857;1
43;1;0;2844,0;10,0;284,4;1
44;2;0;2691,0;10,0;269,1;1
45;3;0;2431,0;10,0;243,1;1
46;4;0;2292,0;9,0;254,66666666666663;1
47;5;1;1856,0;7,0;265,1428571428572;1
48;6;1;2426,0;9,0;269,55555555555554;1
49;0;0;1648,0;6,0;274,6666666666667;1
50;1;0;2127,0;8,0;265,875;1
51;2;0;1317,0;4,0;329,25;1
52;3;0;1848,0;7,0;264,0;1
53;4;0;1399,0;5,0;279,8;1
54;5;1;1731,0;7,0;247,28571428571428;1
55;6;1;1821,0;7,0;260,1428571428572;1
56;0;0;2302,0;8,0;287,75;1
57;1;0;1152,0;4,0;288,0;1
58;2;0;1729,0;6,0;288,1666666666667;1
59;3;0;1712,0;6,0;285,3333333333333;1
60;4;0;2353,0;9,0;261,44444444444446;1
61;5;1;2159,0;8,0;269,875;1
62;6;1;2075,0;8,0;259,375;1
63;0;0;1998,0;7,0;285,42857142857144;1
64;1;0;3382,0;13,0;260,15384615384613;1
65;2;0;2036,0;7,0;290,85714285714283;1
66;3;0;3018,0;11,0;274,3636363636364;1
67;4;0;2536,0;10,0;253,6;1
68;5;1;2948,0;11,0;268,0;1
69;6;1;1784,0;7,0;254,8571428571429;1
70;0;0;1793,0;7,0;256,1428571428572;1
71;1;0;2310,0;9,0;256,6666666666667;1
72;2;0;1870,0;7,0;267,1428571428572;1
73;3;0;2591,0;11,0;235,54545454545453;1
74;4;0;1314,0;5,0;262,8;1
75;5;1;2096,0;8,0;262,0;1
76;6;1;1846,0;7,0;263,7142857142857;1
77;0;0;1566,0;6,0;261,0;1
78;1;0;2034,0;8,0;254,25;1
79;2;0;3265,0;11,0;296,8181818181818;1
80;3;0;1576,0;6,0;262,6666666666667;1
81;4;0;2712,0;9,0;301,3333333333333;1
82;5;1;1441,0;5,0;288,2;1
83;6;1;2518,0;9,0;279,77777777777777;1
84;0;0;1911,0;7,0;273,0;1
85;1;0;2352,0;8,0;294,0;1
86;2;0;1995,0;7,0;285,0;1
87;3;0;2762,0;9,0;306,8888888888889;1
88;4;0;1801,0;7,0;257,2857142857143;1
89;5;1;1611,0;6,0;268,5;1
90;6;1;1540,0;6,0;256,6666666666667;1
91;0;0;2899,0;11,0;263,54545454545456;1
92;1;0;1742,0;7,0;248,8571428571429;1
93;2;0;2247,0;9,0;249,66666666666663;1
94;3;0;2703,0;10,0;270,3;1
95;4;0;1780,0;6,0;296,6666666666667;1
96;5;1;2234,0;9,0;248,22222222222223;1
97;6;1;2203,0;8,0;275,375;1
98;0;0;2450,0;9,0;272,22222222222223;1
99;1;0;2596,0;9,0;288,44444444444446;1
100;2;0;2464,0;8,0;308,0;1
101;3;0;1319,0;5,0;263,8;1
102;4;0;1526,0;6,0;254,3333333333333;1
103;5;1;2020,0;8,0;252,5;1
104;6;1;579,0;3,0;193,0;1
105;0;0;1473,0;6,0;245,5;1
