dia;dia_semana;fim_semana;cclothes;eating;mcoffe;mhotfood;toileting;whandface
1;0;0;439,6666666666667;2203,5;400,0;2684,0;473,3333333333333;297,1
2;1;0;414,0;2469,6666666666665;424,4;2355,0;484,25;265,9
3;2;0;504,3333333333333;1922,5;385,6666666666667;3086,5;400,0;294,875
4;3;0;479,5;2336,6666666666665;466,6666666666667;2910,0;480,2;260,1818181818182
5;4;0;473,5;2675,6666666666665;423,0;2911,5;476,3333333333333;266,5
6;5;1;459,0;2790,0;514,3333333333334;2070,0;356,0;286,875
7;6;1;450,0;2818,6666666666665;502,0;2634,0;416,4;284,0
8;0;0;449,0;2542,5;547,0;2533,0;424,2;266,2
9;1;0;438,5;2610,0;412,5;2716,5;523,0;304,7142857142857
10;2;0;553,5;2302,0;430,0;2377,5;457,6666666666667;269,1666666666667
11;3;0;456,25;2513,0;424,6666666666667;3122,0;413,0;276,8333333333333
12;4;0;394,0;2637,333333333333;586,0;3027,5;422,1666666666667;276,9
13;5;1;448,6666666666667;2432,333333333333;410,5;2267,5;516,0;243,0
14;6;1;395,6666666666667;2358,333333333333;379,5;3193,5;518,6666666666666;255,28571428571428
15;0;0;402,6666666666667;2421,0;402,5;2105,0;446,0;264,5
16;1;0;550,0;2544,6666666666665;375,2;2544,0;468,2;249,7
17;2;0;530,0;1565,5;434,25;3320,0;492,4;293,1666666666667
18;3;0;445,75;2577,6666666666665;515,3333333333334;2711,0;352,0;228,5
19;4;0;475,0;2005,5;590,5;3047,0;464,5;255,6
20;5;1;540,6666666666666;1910,0;463,25;2828,0;507,5;287,3333333333333
21;6;1;551,3333333333334;1894,5;415,5;2365,0;410,0;296,5
22;0;0;421,0;1914,5;534,3333333333334;2943,0;458,0;266,57142857142856
23;1;0;452,25;2787,0;459,5;2664,0;519,75;278,0
24;2;0;394,0;2959,333333333333;404,0;2001,0;561,4;256,9
25;3;0;496,0;2794,333333333333;400,0;2581,5;361,3333333333333;272,4
26;4;0;485,0;2729,6666666666665;547,0;2510,5;464,6;271,1428571428572
27;5;1;381,5;2822,0;443,6666666666667;2520,0;488,0;229,6
28;6;1;368,3333333333333;2623,0;460,0;2651,5;390,5;221,7142857142857
29;0;0;413,0;2501,0;406,3333333333333;2914,0;444,0;272,0
30;1;0;399,0;1902,5;574,5;3324,0;398,8;264,5
31;2;0;444,0;2825,333333333333;538,0;2292,0;391,25;258,625
32;3;0;413,0;2744,0;514,0;3296,0;483,0;262,3333333333333
33;4;0;433,0;2895,333333333333;326,0;3132,0;511,0;275,6666666666667
34;5;1;404,25;2357,0;477,0;2449,0;468,2;265,42857142857144
35;6;1;387,6666666666667;2828,6666666666665;358,0;3244,5;389,0;279,1428571428572
36;0;0;465,5;2762,6666666666665;435,3333333333333;2626,0;419,125;295,75
37;1;0;413,5;2230,6666666666665;441,25;2714,5;451,625;221,45454545454547
38;2;0;581,0;2825,6666666666665;456,0;3018,0;409,3333333333333;266,9166666666667
39;3;0;445,6666666666667;2573,0;420,3333333333333;2973,0;423,0;287,6
40;4;0;403,0;1926,0;426,0;3208,0;412,8;254,16666666666663
41;5;1;482,0;2534,6666666666665;483,5;2898,5;457,75;234,5
42;6;1;490,6666666666667;2408,0;418,5;1965,0;396,75;282,8888888888889
43;0;0;435,0;2122,5;364,0;2512,0;464,5;247,7142857142857
44;1;0;462,0;2422,333333333333;469,5;2499,5;445,2;284,4
45;2;0;389,3333333333333;2148,0;493,0;3569,0;524,0;269,1
46;3;0;430,0;2435,6666666666665;472,2;2493,5;523,4285714285714;243,1
47;4;0;522,5;2347,6666666666665;497,25;2340,0;449,8;254,66666666666663
48;5;1;462,8;2161,5;511,5;3407,0;489,0;265,1428571428572
49;6;1;318,5;2521,6666666666665;509,6666666666667;3173,5;412,6;269,55555555555554
50;0;0;503,3333333333333;2659,333333333333;432,6666666666667;2505,5;420,75;274,6666666666667
51;1;0;474,0;2382,333333333333;394,0;2562,5;454,6;265,875
52;2;0;517,3333333333334;2361,0;453,0;3294,0;387,0;329,25
53;3;0;479,0;2710,6666666666665;390,0;2672,0;471,0;264,0
54;4;0;486,0;2058,0;454,5;3042,0;478,5;279,8
55;5;1;529,6666666666666;1796,5;401,0;3234,0;367,3333333333333;247,28571428571428
56;6;1;336,5;2534,333333333333;588,0;2619,0;442,25;260,1428571428572
57;0;0;566,0;2309,6666666666665;336,3333333333333;2891,0;437,0;287,75
58;1;0;468,0;2797,6666666666665;554,0;2287,0;461,0;288,0
59;2;0;490,0;2259,5;575,3333333333334;2490,0;490,6666666666667;288,1666666666667
60;3;0;460,3333333333333;1565,5;425,0;2087,0;456,5;285,3333333333333
61;4;0;569,0;2924,0;485,6666666666667;2683,0;393,6;261,44444444444446
62;5;1;530,5;1863,0;532,5;2908,0;448,6;269,875
63;6;1;518,0;2343,0;527,0;2653,5;371,4;259,375
64;0;0;510,0;2689,0;407,6;2737,0;450,6666666666667;285,42857142857144
65;1;0;418,0;2392,5;390,0;2819,0;493,5;260,15384615384613
66;2;0;422,0;2355,0;402,0;2353,5;498,5;290,85714285714283
67;3;0;457,6666666666667;2567,333333333333;514,0;2805,5;439,6666666666667;274,3636363636364
68;4;0;453,5;2687,333333333333;427,0;2525,5;430,7142857142857;253,6
69;5;1;361,0;2671,333333333333;447,2;2716,5;453,2;268,0
70;6;1;405,0;2671,6666666666665;521,0;2559,5;439,6666666666667;254,8571428571429
71;0;0;373,0;2435,0;369,0;2110,0;437,5;256,1428571428572
72;1;0;455,6666666666667;2292,0;454,6666666666667;2103,0;391,5;256,6666666666667
73;2;0;524,3333333333334;2826,6666666666665;385,3333333333333;2802,5;484,0;267,1428571428572
74;3;0;418,0;2642,0;478,3333333333333;2171,0;441,4285714285714;235,54545454545453
75;4;0;491,0;2384,6666666666665;502,0;2866,5;486,6666666666667;262,8
76;5;1;518,3333333333334;2756,333333333333;493,0;2403,5;519,5;262,0
77;6;1;490,5;2674,0;405,0;2297,5;473,8;263,7142857142857
78;0;0;457,0;2164,5;462,3333333333333;3252,0;443,0;261,0
79;1;0;515,0;2024,0;508,3333333333333;2256,0;388,0;254,25
80;2;0;491,0;2520,333333333333;499,0;3312,5;409,5;296,8181818181818
81;3;0;371,5;2512,5;425,0;2774,5;439,8333333333333;262,6666666666667
82;4;0;456,5;2414,0;405,0;2866,0;514,8;301,3333333333333
83;5;1;482,5;2948,333333333333;385,5;3127,0;423,25;288,2
84;6;1;373,0;2332,6666666666665;524,0;2902,0;439,0;279,77777777777777
85;0;0;411,6666666666667;2004,0;584,0;3313,0;453,6;273,0
86;1;0;370,0;2529,6666666666665;376,0;2932,0;445,6666666666667;294,0
87;2;0;470,6666666666667;2616,0;365,0;2323,0;484,5;285,0
88;3;0;484,5;2553,0;525,0;3583,0;478,0;306,8888888888889
89;4;0;455,5;2341,0;433,3333333333333;3110,0;422,0;257,2857142857143
90;5;1;460,0;2549,333333333333;538,5;2821,5;426,0;268,5
91;6;1;523,0;2482,333333333333;500,0;2012,5;437,6;256,6666666666667
92;0;0;381,3333333333333;2528,0;347,5;2540,0;435,57142857142856;263,54545454545456
93;1;0;461,6666666666667;2497,6666666666665;415,75;3057,0;450,0;248,8571428571429
94;2;0;444,0;2676,333333333333;397,0;3502,5;473,25;249,66666666666663
95;3;0;561,3333333333334;2599,333333333333;387,0;2187,5;421,5;270,3
96;4;0;520,6666666666666;2527,0;439,3333333333333;3155,0;404,3333333333333;296,6666666666667
97;5;1;420,5;2509,0;453,0;2967,5;419,6;248,22222222222223
98;6;1;492,75;1948,0;350,5;2988,5;494,6;275,375
99;0;0;555,0;1804,5;423,0;3370,0;454,0;272,22222222222223
100;1;0;436,0;2797,333333333333;510,0;2209,0;482,8;288,44444444444446
101;2;0;449,0;2316,333333333333;524,75;2939,5;493,3333333333333;308,0
102;3;0;463,0;2429,0;426,0;2691,5;497,0;263,8
103;4;0;549,6666666666666;2530,0;457,0;3544,0;370,5;254,3333333333333
104;5;1;479,5;2484,0;541,5;3221,5;543,75;252,5
105;6;1;481,25;1904,5;486,0;3125,0;584,0;193,0
106;0;0;371,6666666666667;2534,333333333333;471,5;2036,0;446,8333333333333;245,5
107;1;0;454,0;2571,333333333333;419,3333333333333;2639,0;503,4;272,4
108;2;0;457,5;2839,0;330,3333333333333;2739,0;480,25;269,75
109;3;0;461,3333333333333;2627,5;396,0;2580,0;416,25;248,11111111111111
110;4;0;447,5;2740,6666666666665;589,0;2583,0;531,0;304,8
111;5;1;573,5;2597,333333333333;516,3333333333334;2808,5;469,0;273,7142857142857
112;6;1;433,5;2407,0;302,0;2565,0;467,3333333333333;275,5
113;0;0;413,0;2902,6666666666665;433,3333333333333;2520,0;515,3333333333334;279,625
114;1;0;342,6666666666667;2731,6666666666665;491,0;2229,0;423,6;255,0
115;2;0;368,6666666666667;2708,333333333333;423,0;2395,0;418,4285714285714;265,8181818181818
116;3;0;360,0;2792,6666666666665;537,6666666666666;2684,0;415,3333333333333;257,0
117;4;0;531,5;2573,6666666666665;446,8;3021,0;498,6666666666667;242,625
118;5;1;357,0;1808,0;374,6666666666667;3098,0;444,4;256,75
119;6;1;473,5;2469,0;460,0;2885,0;437,2;254,0
120;0;0;545,0;2561,333333333333;513,0;2646,0;486,75;281,72727272727275
121;1;0;322,0;2632,333333333333;508,3333333333333;3126,5;451,6666666666667;237,3333333333333
122;2;0;351,0;2471,333333333333;547,0;2384,0;492,4;247,7692307692308
123;3;0;457,0;2378,0;387,0;2952,0;530,6666666666666;294,75
124;4;0;431,5;2594,6666666666665;474,3333333333333;2539,5;436,0;284,625
125;5;1;418,5;2372,0;502,5;2931,0;492,6;275,0
126;6;1;523,5;2784,6666666666665;358,5;3294,5;468,3333333333333;212,3333333333333
