semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;20-95;16;35;19;0;0,7285714285714285;0,45714285714285713;1,0;0,6274509803921569;iforest;dfreq
2;20-95;24;35;11;0;0,8428571428571429;0,6857142857142857;1,0;0,8135593220338984;iforest;dfreq
3;20-95;23;35;12;0;0,8285714285714286;0,6571428571428571;1,0;0,7931034482758621;iforest;dfreq
4;20-95;20;35;15;0;0,7857142857142857;0,5714285714285714;1,0;0,7272727272727273;iforest;dfreq
5;20-95;19;35;16;0;0,7714285714285715;0,5428571428571428;1,0;0,7037037037037037;iforest;dfreq
6;20-95;20;35;15;0;0,7857142857142857;0,5714285714285714;1,0;0,7272727272727273;iforest;dfreq
7;20-95;24;35;11;0;0,8428571428571429;0,6857142857142857;1,0;0,8135593220338984;iforest;dfreq
8;20-95;25;35;10;0;0,8571428571428571;0,7142857142857143;1,0;0,8333333333333333;iforest;dfreq
9;20-95;27;35;8;0;0,8857142857142857;0,7714285714285715;1,0;0,870967741935484;iforest;dfreq
10;20-95;26;35;9;0;0,8714285714285714;0,7428571428571429;1,0;0,8524590163934427;iforest;dfreq
11;20-95;29;35;6;0;0,9142857142857143;0,8285714285714286;1,0;0,90625;iforest;dfreq
12;20-95;29;35;6;0;0,9142857142857143;0,8285714285714286;1,0;0,90625;iforest;dfreq
13;20-95;29;35;6;0;0,9142857142857143;0,8285714285714286;1,0;0,90625;iforest;dfreq
14;20-95;28;35;7;0;0,9;0,8;1,0;0,888888888888889;iforest;dfreq
15;20-95;30;35;5;0;0,9285714285714286;0,8571428571428571;1,0;0,923076923076923;iforest;dfreq
16;20-95;30;34;5;1;0,9142857142857143;0,8571428571428571;0,967741935483871;0,909090909090909;iforest;dfreq
17;20-95;30;35;5;0;0,9285714285714286;0,8571428571428571;1,0;0,923076923076923;iforest;dfreq
18;20-95;30;35;5;0;0,9285714285714286;0,8571428571428571;1,0;0,923076923076923;iforest;dfreq
