semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;20-35;8;27;27;8;0,5;0,22857142857142856;0,5;0,3137254901960784;iforest;duracao
2;20-35;8;29;27;6;0,5285714285714286;0,22857142857142856;0,5714285714285714;0,32653061224489793;iforest;duracao
3;20-35;1;34;34;1;0,5;0,02857142857142857;0,5;0,05405405405405405;iforest;duracao
4;20-35;4;33;31;2;0,5285714285714286;0,11428571428571428;0,6666666666666666;0,19512195121951217;iforest;duracao
5;20-35;2;33;33;2;0,5;0,05714285714285714;0,5;0,10256410256410256;iforest;duracao
6;20-35;4;33;31;2;0,5285714285714286;0,11428571428571428;0,6666666666666666;0,19512195121951217;iforest;duracao
7;20-35;4;34;31;1;0,5428571428571428;0,11428571428571428;0,8;0,19999999999999998;iforest;duracao
8;20-35;4;34;31;1;0,5428571428571428;0,11428571428571428;0,8;0,19999999999999998;iforest;duracao
9;20-35;3;34;32;1;0,5285714285714286;0,08571428571428572;0,75;0,15384615384615383;iforest;duracao
10;20-35;4;33;31;2;0,5285714285714286;0,11428571428571428;0,6666666666666666;0,19512195121951217;iforest;duracao
11;20-35;4;35;31;0;0,5571428571428572;0,11428571428571428;1,0;0,20512820512820512;iforest;duracao
12;20-35;3;35;32;0;0,5428571428571428;0,08571428571428572;1,0;0,15789473684210528;iforest;duracao
13;20-35;4;35;31;0;0,5571428571428572;0,11428571428571428;1,0;0,20512820512820512;iforest;duracao
14;20-35;4;35;31;0;0,5571428571428572;0,11428571428571428;1,0;0,20512820512820512;iforest;duracao
15;20-35;5;32;30;3;0,5285714285714286;0,14285714285714285;0,625;0,23255813953488372;iforest;duracao
16;20-35;6;32;29;3;0,5428571428571428;0,17142857142857143;0,6666666666666666;0,27272727272727276;iforest;duracao
17;20-35;5;33;30;2;0,5428571428571428;0,14285714285714285;0,7142857142857143;0,23809523809523808;iforest;duracao
18;20-35;5;33;30;2;0,5428571428571428;0,14285714285714285;0,7142857142857143;0,23809523809523808;iforest;duracao
