semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;20-35;1;32;34;3;0,4714285714285714;0,02857142857142857;0,25;0,05128205128205128;iforest;frequencia
2;20-35;4;28;31;7;0,45714285714285713;0,11428571428571428;0,36363636363636365;0,17391304347826086;iforest;frequencia
3;20-35;1;33;34;2;0,4857142857142857;0,02857142857142857;0,3333333333333333;0,05263157894736842;iforest;frequencia
4;20-35;3;33;32;2;0,5142857142857142;0,08571428571428572;0,6;0,15;iforest;frequencia
5;20-35;3;32;32;3;0,5;0,08571428571428572;0,5;0,14634146341463414;iforest;frequencia
6;20-35;2;32;33;3;0,4857142857142857;0,05714285714285714;0,4;0,09999999999999999;iforest;frequencia
7;20-35;1;32;34;3;0,4714285714285714;0,02857142857142857;0,25;0,05128205128205128;iforest;frequencia
8;20-35;1;32;34;3;0,4714285714285714;0,02857142857142857;0,25;0,05128205128205128;iforest;frequencia
9;20-35;1;32;34;3;0,4714285714285714;0,02857142857142857;0,25;0,05128205128205128;iforest;frequencia
10;20-35;1;34;34;1;0,5;0,02857142857142857;0,5;0,05405405405405405;iforest;frequencia
11;20-35;3;32;32;3;0,5;0,08571428571428572;0,5;0,14634146341463414;iforest;frequencia
12;20-35;2;32;33;3;0,4857142857142857;0,05714285714285714;0,4;0,09999999999999999;iforest;frequencia
13;20-35;3;32;32;3;0,5;0,08571428571428572;0,5;0,14634146341463414;iforest;frequencia
14;20-35;2;32;33;3;0,4857142857142857;0,05714285714285714;0,4;0,09999999999999999;iforest;frequencia
15;20-35;1;32;34;3;0,4714285714285714;0,02857142857142857;0,25;0,05128205128205128;iforest;frequencia
16;20-35;1;32;34;3;0,4714285714285714;0,02857142857142857;0,25;0,05128205128205128;iforest;frequencia
17;20-35;2;32;33;3;0,4857142857142857;0,05714285714285714;0,4;0,09999999999999999;iforest;frequencia
18;20-35;2;32;33;3;0,4857142857142857;0,05714285714285714;0,4;0,09999999999999999;iforest;frequencia
