semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;60-75;33;35;2;0;0,9714285714285714;0,9428571428571428;1,0;0,9705882352941176;lof;dfreq
2;60-75;33;35;2;0;0,9714285714285714;0,9428571428571428;1,0;0,9705882352941176;lof;dfreq
3;60-75;33;35;2;0;0,9714285714285714;0,9428571428571428;1,0;0,9705882352941176;lof;dfreq
4;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof;dfreq
5;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof;dfreq
6;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof;dfreq
7;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof;dfreq
8;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof;dfreq
9;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof;dfreq
10;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof;dfreq
11;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof;dfreq
12;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof;dfreq
13;60-75;34;34;1;1;0,9714285714285714;0,9714285714285714;0,9714285714285714;0,9714285714285714;lof;dfreq
14;60-75;34;34;1;1;0,9714285714285714;0,9714285714285714;0,9714285714285714;0,9714285714285714;lof;dfreq
15;60-75;34;34;1;1;0,9714285714285714;0,9714285714285714;0,9714285714285714;0,9714285714285714;lof;dfreq
16;60-75;34;34;1;1;0,9714285714285714;0,9714285714285714;0,9714285714285714;0,9714285714285714;lof;dfreq
17;60-75;34;34;1;1;0,9714285714285714;0,9714285714285714;0,9714285714285714;0,9714285714285714;lof;dfreq
18;60-75;34;34;1;1;0,9714285714285714;0,9714285714285714;0,9714285714285714;0,9714285714285714;lof;dfreq
