semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;60-75;8;35;27;0;0,6142857142857143;0,22857142857142856;1,0;0,3720930232558139;lof;duracao
2;60-75;11;35;24;0;0,6571428571428571;0,3142857142857143;1,0;0,4782608695652174;lof;duracao
3;60-75;12;35;23;0;0,6714285714285714;0,34285714285714286;1,0;0,5106382978723404;lof;duracao
4;60-75;15;35;20;0;0,7142857142857143;0,42857142857142855;1,0;0,6;lof;duracao
5;60-75;19;35;16;0;0,7714285714285715;0,5428571428571428;1,0;0,7037037037037037;lof;duracao
6;60-75;20;35;15;0;0,7857142857142857;0,5714285714285714;1,0;0,7272727272727273;lof;duracao
7;60-75;22;35;13;0;0,8142857142857143;0,6285714285714286;1,0;0,7719298245614035;lof;duracao
8;60-75;23;35;12;0;0,8285714285714286;0,6571428571428571;1,0;0,7931034482758621;lof;duracao
9;60-75;24;35;11;0;0,8428571428571429;0,6857142857142857;1,0;0,8135593220338984;lof;duracao
10;60-75;25;35;10;0;0,8571428571428571;0,7142857142857143;1,0;0,8333333333333333;lof;duracao
11;60-75;25;35;10;0;0,8571428571428571;0,7142857142857143;1,0;0,8333333333333333;lof;duracao
12;60-75;25;35;10;0;0,8571428571428571;0,7142857142857143;1,0;0,8333333333333333;lof;duracao
13;60-75;25;35;10;0;0,8571428571428571;0,7142857142857143;1,0;0,8333333333333333;lof;duracao
14;60-75;25;35;10;0;0,8571428571428571;0,7142857142857143;1,0;0,8333333333333333;lof;duracao
15;60-75;27;35;8;0;0,8857142857142857;0,7714285714285715;1,0;0,870967741935484;lof;duracao
16;60-75;29;35;6;0;0,9142857142857143;0,8285714285714286;1,0;0,90625;lof;duracao
17;60-75;30;34;5;1;0,9142857142857143;0,8571428571428571;0,967741935483871;0,909090909090909;lof;duracao
18;60-75;30;34;5;1;0,9142857142857143;0,8571428571428571;0,967741935483871;0,909090909090909;lof;duracao
