semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;20-35;3;35;32;0;0,5428571428571428;0,08571428571428572;1,0;0,15789473684210528;lof;frequencia
2;20-35;7;35;28;0;0,6;0,2;1,0;0,33333333333333337;lof;frequencia
3;20-35;9;35;26;0;0,6285714285714286;0,2571428571428571;1,0;0,40909090909090906;lof;frequencia
4;20-35;11;35;24;0;0,6571428571428571;0,3142857142857143;1,0;0,4782608695652174;lof;frequencia
5;20-35;18;35;17;0;0,7571428571428571;0,5142857142857142;1,0;0,6792452830188679;lof;frequencia
6;20-35;26;35;9;0;0,8714285714285714;0,7428571428571429;1,0;0,8524590163934427;lof;frequencia
7;20-35;28;35;7;0;0,9;0,8;1,0;0,888888888888889;lof;frequencia
8;20-35;29;35;6;0;0,9142857142857143;0,8285714285714286;1,0;0,90625;lof;frequencia
9;20-35;30;34;5;1;0,9142857142857143;0,8571428571428571;0,967741935483871;0,909090909090909;lof;frequencia
10;20-35;32;33;3;2;0,9285714285714286;0,9142857142857143;0,9411764705882353;0,9275362318840579;lof;frequencia
11;20-35;31;33;4;2;0,9142857142857143;0,8857142857142857;0,9393939393939394;0,9117647058823529;lof;frequencia
12;20-35;31;33;4;2;0,9142857142857143;0,8857142857142857;0,9393939393939394;0,9117647058823529;lof;frequencia
13;20-35;31;30;4;5;0,8714285714285714;0,8857142857142857;0,8611111111111112;0,8732394366197184;lof;frequencia
14;20-35;31;30;4;5;0,8714285714285714;0,8857142857142857;0,8611111111111112;0,8732394366197184;lof;frequencia
15;20-35;31;30;4;5;0,8714285714285714;0,8857142857142857;0,8611111111111112;0,8732394366197184;lof;frequencia
16;20-35;31;29;4;6;0,8571428571428571;0,8857142857142857;0,8378378378378378;0,8611111111111112;lof;frequencia
17;20-35;31;21;4;14;0,7428571428571429;0,8857142857142857;0,6888888888888889;0,775;lof;frequencia
18;20-35;31;21;4;14;0,7428571428571429;0,8857142857142857;0,6888888888888889;0,775;lof;frequencia
