semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;80-95;35;2;0;33;0,5285714285714286;1,0;0,5147058823529411;0,6796116504854368;ocsvm;dfreq
2;80-95;35;6;0;29;0,5857142857142857;1,0;0,546875;0,7070707070707071;ocsvm;dfreq
3;80-95;35;15;0;20;0,7142857142857143;1,0;0,6363636363636364;0,7777777777777778;ocsvm;dfreq
4;80-95;35;21;0;14;0,8;1,0;0,7142857142857143;0,8333333333333333;ocsvm;dfreq
5;80-95;35;21;0;14;0,8;1,0;0,7142857142857143;0,8333333333333333;ocsvm;dfreq
6;80-95;35;24;0;11;0,8428571428571429;1,0;0,7608695652173914;0,8641975308641976;ocsvm;dfreq
7;80-95;35;23;0;12;0,8285714285714286;1,0;0,7446808510638298;0,8536585365853657;ocsvm;dfreq
8;80-95;35;24;0;11;0,8428571428571429;1,0;0,7608695652173914;0,8641975308641976;ocsvm;dfreq
9;80-95;35;25;0;10;0,8571428571428571;1,0;0,7777777777777778;0,8750000000000001;ocsvm;dfreq
10;80-95;35;25;0;10;0,8571428571428571;1,0;0,7777777777777778;0,8750000000000001;ocsvm;dfreq
11;80-95;35;25;0;10;0,8571428571428571;1,0;0,7777777777777778;0,8750000000000001;ocsvm;dfreq
12;80-95;35;25;0;10;0,8571428571428571;1,0;0,7777777777777778;0,8750000000000001;ocsvm;dfreq
13;80-95;35;26;0;9;0,8714285714285714;1,0;0,7954545454545454;0,8860759493670886;ocsvm;dfreq
14;80-95;35;28;0;7;0,9;1,0;0,8333333333333334;0,9090909090909091;ocsvm;dfreq
15;80-95;35;29;0;6;0,9142857142857143;1,0;0,8536585365853658;0,9210526315789475;ocsvm;dfreq
16;80-95;35;30;0;5;0,9285714285714286;1,0;0,875;0,9333333333333333;ocsvm;dfreq
17;80-95;35;29;0;6;0,9142857142857143;1,0;0,8536585365853658;0,9210526315789475;ocsvm;dfreq
18;80-95;35;30;0;5;0,9285714285714286;1,0;0,875;0,9333333333333333;ocsvm;dfreq
