semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;60-75;35;5;0;30;0,5714285714285714;1,0;0,5384615384615384;0,7000000000000001;ocsvm;duracao
2;60-75;35;9;0;26;0,6285714285714286;1,0;0,5737704918032787;0,7291666666666666;ocsvm;duracao
3;60-75;33;14;2;21;0,6714285714285714;0,9428571428571428;0,6111111111111112;0,7415730337078652;ocsvm;duracao
4;60-75;33;18;2;17;0,7285714285714285;0,9428571428571428;0,66;0,7764705882352942;ocsvm;duracao
5;60-75;31;20;4;15;0,7285714285714285;0,8857142857142857;0,6739130434782609;0,7654320987654321;ocsvm;duracao
6;60-75;31;19;4;16;0,7142857142857143;0,8857142857142857;0,6595744680851063;0,7560975609756098;ocsvm;duracao
7;60-75;31;20;4;15;0,7285714285714285;0,8857142857142857;0,6739130434782609;0,7654320987654321;ocsvm;duracao
8;60-75;31;22;4;13;0,7571428571428571;0,8857142857142857;0,7045454545454546;0,7848101265822784;ocsvm;duracao
9;60-75;31;22;4;13;0,7571428571428571;0,8857142857142857;0,7045454545454546;0,7848101265822784;ocsvm;duracao
10;60-75;31;23;4;12;0,7714285714285715;0,8857142857142857;0,7209302325581395;0,7948717948717948;ocsvm;duracao
11;60-75;31;24;4;11;0,7857142857142857;0,8857142857142857;0,7380952380952381;0,8051948051948051;ocsvm;duracao
12;60-75;31;24;4;11;0,7857142857142857;0,8857142857142857;0,7380952380952381;0,8051948051948051;ocsvm;duracao
13;60-75;31;24;4;11;0,7857142857142857;0,8857142857142857;0,7380952380952381;0,8051948051948051;ocsvm;duracao
14;60-75;31;25;4;10;0,8;0,8857142857142857;0,7560975609756098;0,8157894736842105;ocsvm;duracao
15;60-75;31;25;4;10;0,8;0,8857142857142857;0,7560975609756098;0,8157894736842105;ocsvm;duracao
16;60-75;31;25;4;10;0,8;0,8857142857142857;0,7560975609756098;0,8157894736842105;ocsvm;duracao
17;60-75;31;25;4;10;0,8;0,8857142857142857;0,7560975609756098;0,8157894736842105;ocsvm;duracao
18;60-75;31;25;4;10;0,8;0,8857142857142857;0,7560975609756098;0,8157894736842105;ocsvm;duracao
