semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;80-95;35;3;0;32;0,5428571428571428;1,0;0,5223880597014925;0,6862745098039216;ocsvm;frequencia
2;80-95;35;10;0;25;0,6428571428571429;1,0;0,5833333333333334;0,7368421052631579;ocsvm;frequencia
3;80-95;35;19;0;16;0,7714285714285715;1,0;0,6862745098039216;0,813953488372093;ocsvm;frequencia
4;80-95;35;21;0;14;0,8;1,0;0,7142857142857143;0,8333333333333333;ocsvm;frequencia
5;80-95;35;20;0;15;0,7857142857142857;1,0;0,7;0,8235294117647058;ocsvm;frequencia
6;80-95;35;23;0;12;0,8285714285714286;1,0;0,7446808510638298;0,8536585365853657;ocsvm;frequencia
7;80-95;35;22;0;13;0,8142857142857143;1,0;0,7291666666666666;0,8433734939759037;ocsvm;frequencia
8;80-95;35;26;0;9;0,8714285714285714;1,0;0,7954545454545454;0,8860759493670886;ocsvm;frequencia
9;80-95;35;26;0;9;0,8714285714285714;1,0;0,7954545454545454;0,8860759493670886;ocsvm;frequencia
10;80-95;35;26;0;9;0,8714285714285714;1,0;0,7954545454545454;0,8860759493670886;ocsvm;frequencia
11;80-95;35;29;0;6;0,9142857142857143;1,0;0,8536585365853658;0,9210526315789475;ocsvm;frequencia
12;80-95;35;29;0;6;0,9142857142857143;1,0;0,8536585365853658;0,9210526315789475;ocsvm;frequencia
13;80-95;35;30;0;5;0,9285714285714286;1,0;0,875;0,9333333333333333;ocsvm;frequencia
14;80-95;35;30;0;5;0,9285714285714286;1,0;0,875;0,9333333333333333;ocsvm;frequencia
15;80-95;35;30;0;5;0,9285714285714286;1,0;0,875;0,9333333333333333;ocsvm;frequencia
16;80-95;35;30;0;5;0,9285714285714286;1,0;0,875;0,9333333333333333;ocsvm;frequencia
17;80-95;35;30;0;5;0,9285714285714286;1,0;0,875;0,9333333333333333;ocsvm;frequencia
18;80-95;35;30;0;5;0,9285714285714286;1,0;0,875;0,9333333333333333;ocsvm;frequencia
