semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;40-55;30;25;5;10;0,7857142857142857;0,8571428571428571;0,75;0,7999999999999999;rce;dfreq
2;40-55;34;32;1;3;0,9428571428571428;0,9714285714285714;0,918918918918919;0,9444444444444445;rce;dfreq
3;40-55;33;35;2;0;0,9714285714285714;0,9428571428571428;1,0;0,9705882352941176;rce;dfreq
4;40-55;35;25;0;10;0,8571428571428571;1,0;0,7777777777777778;0,8750000000000001;rce;dfreq
5;40-55;34;32;1;3;0,9428571428571428;0,9714285714285714;0,918918918918919;0,9444444444444445;rce;dfreq
6;40-55;34;34;1;1;0,9714285714285714;0,9714285714285714;0,9714285714285714;0,9714285714285714;rce;dfreq
7;40-55;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;dfreq
8;40-55;34;34;1;1;0,9714285714285714;0,9714285714285714;0,9714285714285714;0,9714285714285714;rce;dfreq
9;40-55;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;dfreq
10;40-55;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;dfreq
11;40-55;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;dfreq
12;40-55;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;dfreq
13;40-55;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;dfreq
14;40-55;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;dfreq
15;40-55;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;dfreq
16;40-55;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;dfreq
17;40-55;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;dfreq
18;40-55;34;34;1;1;0,9714285714285714;0,9714285714285714;0,9714285714285714;0,9714285714285714;rce;dfreq
