semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;40-55;25;26;10;9;0,7285714285714285;0,7142857142857143;0,7352941176470589;0,7246376811594202;rce;duracao
2;40-55;22;31;13;4;0,7571428571428571;0,6285714285714286;0,8461538461538461;0,721311475409836;rce;duracao
3;40-55;9;35;26;0;0,6285714285714286;0,2571428571428571;1,0;0,40909090909090906;rce;duracao
4;40-55;8;35;27;0;0,6142857142857143;0,22857142857142856;1,0;0,3720930232558139;rce;duracao
5;40-55;9;35;26;0;0,6285714285714286;0,2571428571428571;1,0;0,40909090909090906;rce;duracao
6;40-55;7;35;28;0;0,6;0,2;1,0;0,33333333333333337;rce;duracao
7;40-55;8;35;27;0;0,6142857142857143;0,22857142857142856;1,0;0,3720930232558139;rce;duracao
8;40-55;7;35;28;0;0,6;0,2;1,0;0,33333333333333337;rce;duracao
9;40-55;7;35;28;0;0,6;0,2;1,0;0,33333333333333337;rce;duracao
10;40-55;7;35;28;0;0,6;0,2;1,0;0,33333333333333337;rce;duracao
11;40-55;7;35;28;0;0,6;0,2;1,0;0,33333333333333337;rce;duracao
12;40-55;7;35;28;0;0,6;0,2;1,0;0,33333333333333337;rce;duracao
13;40-55;7;35;28;0;0,6;0,2;1,0;0,33333333333333337;rce;duracao
14;40-55;7;35;28;0;0,6;0,2;1,0;0,33333333333333337;rce;duracao
15;40-55;7;35;28;0;0,6;0,2;1,0;0,33333333333333337;rce;duracao
16;40-55;7;35;28;0;0,6;0,2;1,0;0,33333333333333337;rce;duracao
17;40-55;7;35;28;0;0,6;0,2;1,0;0,33333333333333337;rce;duracao
18;40-55;7;35;28;0;0,6;0,2;1,0;0,33333333333333337;rce;duracao
