semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;60-75;35;5;0;30;0,5714285714285714;1,0;0,5384615384615384;0,7000000000000001;rce;frequencia
2;60-75;32;35;3;0;0,9571428571428572;0,9142857142857143;1,0;0,955223880597015;rce;frequencia
3;60-75;34;33;1;2;0,9571428571428572;0,9714285714285714;0,9444444444444444;0,9577464788732395;rce;frequencia
4;60-75;32;35;3;0;0,9571428571428572;0,9142857142857143;1,0;0,955223880597015;rce;frequencia
5;60-75;32;35;3;0;0,9571428571428572;0,9142857142857143;1,0;0,955223880597015;rce;frequencia
6;60-75;31;35;4;0;0,9428571428571428;0,8857142857142857;1,0;0,9393939393939393;rce;frequencia
7;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;frequencia
8;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;frequencia
9;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;frequencia
10;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;frequencia
11;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;frequencia
12;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;frequencia
13;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;frequencia
14;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;frequencia
15;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;frequencia
16;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;frequencia
17;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;frequencia
18;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;frequencia
