semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo
1;40-55;21;29;14;6;0,7142857142857143;0,6;0,7777777777777778;0,6774193548387097;iforest
2;40-55;28;26;7;9;0,7714285714285715;0,8;0,7567567567567568;0,7777777777777778;iforest
3;40-55;19;35;16;0;0,7714285714285715;0,5428571428571428;1,0;0,7037037037037037;iforest
4;40-55;19;35;16;0;0,7714285714285715;0,5428571428571428;1,0;0,7037037037037037;iforest
5;40-55;22;35;13;0;0,8142857142857143;0,6285714285714286;1,0;0,7719298245614035;iforest
6;40-55;24;35;11;0;0,8428571428571429;0,6857142857142857;1,0;0,8135593220338984;iforest
7;40-55;25;35;10;0;0,8571428571428571;0,7142857142857143;1,0;0,8333333333333333;iforest
8;40-55;26;35;9;0;0,8714285714285714;0,7428571428571429;1,0;0,8524590163934427;iforest
9;40-55;28;35;7;0;0,9;0,8;1,0;0,888888888888889;iforest
10;40-55;27;35;8;0;0,8857142857142857;0,7714285714285715;1,0;0,870967741935484;iforest
11;40-55;28;35;7;0;0,9;0,8;1,0;0,888888888888889;iforest
12;40-55;27;35;8;0;0,8857142857142857;0,7714285714285715;1,0;0,870967741935484;iforest
13;40-55;27;34;8;1;0,8714285714285714;0,7714285714285715;0,9642857142857143;0,8571428571428572;iforest
14;40-55;26;35;9;0;0,8714285714285714;0,7428571428571429;1,0;0,8524590163934427;iforest
15;40-55;29;33;6;2;0,8857142857142857;0,8285714285714286;0,9354838709677419;0,8787878787878788;iforest
16;40-55;27;34;8;1;0,8714285714285714;0,7714285714285715;0,9642857142857143;0,8571428571428572;iforest
17;40-55;27;34;8;1;0,8714285714285714;0,7714285714285715;0,9642857142857143;0,8571428571428572;iforest
18;40-55;26;35;9;0;0,8714285714285714;0,7428571428571429;1,0;0,8524590163934427;iforest
