semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo
1;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof
2;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof
3;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof
4;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof
5;60-75;35;35;0;0;1,0;1,0;1,0;1,0;lof
6;60-75;35;35;0;0;1,0;1,0;1,0;1,0;lof
7;60-75;35;35;0;0;1,0;1,0;1,0;1,0;lof
8;60-75;35;35;0;0;1,0;1,0;1,0;1,0;lof
9;60-75;35;35;0;0;1,0;1,0;1,0;1,0;lof
10;60-75;35;35;0;0;1,0;1,0;1,0;1,0;lof
11;60-75;35;35;0;0;1,0;1,0;1,0;1,0;lof
12;60-75;35;35;0;0;1,0;1,0;1,0;1,0;lof
13;60-75;35;35;0;0;1,0;1,0;1,0;1,0;lof
14;60-75;35;35;0;0;1,0;1,0;1,0;1,0;lof
15;60-75;35;35;0;0;1,0;1,0;1,0;1,0;lof
16;60-75;35;35;0;0;1,0;1,0;1,0;1,0;lof
17;60-75;35;35;0;0;1,0;1,0;1,0;1,0;lof
18;60-75;35;35;0;0;1,0;1,0;1,0;1,0;lof
