semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo
1;40-55;35;1;0;34;0,5142857142857142;1,0;0,5072463768115942;0,6730769230769231;ocsvm
2;40-55;35;6;0;29;0,5857142857142857;1,0;0,546875;0,7070707070707071;ocsvm
3;40-55;35;11;0;24;0,6571428571428571;1,0;0,5932203389830508;0,7446808510638298;ocsvm
4;40-55;35;13;0;22;0,6857142857142857;1,0;0,6140350877192983;0,7608695652173912;ocsvm
5;40-55;35;13;0;22;0,6857142857142857;1,0;0,6140350877192983;0,7608695652173912;ocsvm
6;40-55;35;17;0;18;0,7428571428571429;1,0;0,660377358490566;0,7954545454545454;ocsvm
7;40-55;35;18;0;17;0,7571428571428571;1,0;0,6730769230769231;0,8045977011494253;ocsvm
8;40-55;35;21;0;14;0,8;1,0;0,7142857142857143;0,8333333333333333;ocsvm
9;40-55;35;23;0;12;0,8285714285714286;1,0;0,7446808510638298;0,8536585365853657;ocsvm
10;40-55;35;21;0;14;0,8;1,0;0,7142857142857143;0,8333333333333333;ocsvm
11;40-55;35;22;0;13;0,8142857142857143;1,0;0,7291666666666666;0,8433734939759037;ocsvm
12;40-55;35;23;0;12;0,8285714285714286;1,0;0,7446808510638298;0,8536585365853657;ocsvm
13;40-55;35;23;0;12;0,8285714285714286;1,0;0,7446808510638298;0,8536585365853657;ocsvm
14;40-55;35;23;0;12;0,8285714285714286;1,0;0,7446808510638298;0,8536585365853657;ocsvm
15;40-55;35;24;0;11;0,8428571428571429;1,0;0,7608695652173914;0,8641975308641976;ocsvm
16;40-55;35;23;0;12;0,8285714285714286;1,0;0,7446808510638298;0,8536585365853657;ocsvm
17;40-55;35;24;0;11;0,8428571428571429;1,0;0,7608695652173914;0,8641975308641976;ocsvm
18;40-55;35;25;0;10;0,8571428571428571;1,0;0,7777777777777778;0,8750000000000001;ocsvm
