semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo
1;60-75;35;30;0;5;0,9285714285714286;1,0;0,875;0,9333333333333333;rce
2;60-75;35;25;0;10;0,8571428571428571;1,0;0,7777777777777778;0,8750000000000001;rce
3;60-75;35;31;0;4;0,9428571428571428;1,0;0,8974358974358975;0,945945945945946;rce
4;60-75;35;35;0;0;1,0;1,0;1,0;1,0;rce
5;60-75;35;35;0;0;1,0;1,0;1,0;1,0;rce
6;60-75;35;35;0;0;1,0;1,0;1,0;1,0;rce
7;60-75;35;35;0;0;1,0;1,0;1,0;1,0;rce
8;60-75;35;35;0;0;1,0;1,0;1,0;1,0;rce
9;60-75;35;35;0;0;1,0;1,0;1,0;1,0;rce
10;60-75;35;35;0;0;1,0;1,0;1,0;1,0;rce
11;60-75;35;35;0;0;1,0;1,0;1,0;1,0;rce
12;60-75;35;34;0;1;0,9857142857142858;1,0;0,9722222222222222;0,9859154929577464;rce
13;60-75;35;35;0;0;1,0;1,0;1,0;1,0;rce
14;60-75;35;35;0;0;1,0;1,0;1,0;1,0;rce
15;60-75;35;35;0;0;1,0;1,0;1,0;1,0;rce
16;60-75;35;35;0;0;1,0;1,0;1,0;1,0;rce
17;60-75;35;35;0;0;1,0;1,0;1,0;1,0;rce
18;60-75;35;35;0;0;1,0;1,0;1,0;1,0;rce
